lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
64.0,65.0,49.0,32.0,26.0,35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36,0,0,1,0,0,0,0,36,30,1
65.0,49.0,32.0,26.0,35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32,0,0,0,1,0,0,0,32,31,1
49.0,32.0,26.0,35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32,0,1,0,0,0,0,0,32,1,2
32.0,26.0,35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35,0,0,0,0,0,1,0,35,2,2
26.0,35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45,0,0,0,0,0,0,1,45,3,2
35.0,45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39,0,0,0,0,1,0,0,39,4,2
45.0,27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52,1,0,0,0,0,0,0,52,5,2
27.0,45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68,0,0,1,0,0,0,0,68,6,2
45.0,33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53,0,0,0,1,0,0,0,53,7,2
33.0,33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53.0,77,0,1,0,0,0,0,0,77,8,2
33.0,31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53.0,77.0,60,0,0,0,0,0,1,0,60,9,2
31.0,28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53.0,77.0,60.0,72,0,0,0,0,0,0,1,72,10,2
28.0,42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53.0,77.0,60.0,72.0,70,0,0,0,0,1,0,0,70,11,2
42.0,25.0,18.0,28.0,27.0,40.0,33.0,27.0,32.0,37.0,37.0,49.0,57.0,59.0,31.0,36.0,32.0,32.0,35.0,45.0,39.0,52.0,68.0,53.0,77.0,60.0,72.0,70.0,59,1,0,0,0,0,0,0,59,12,2
