lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,38.0,36.0,41.0,37.0,31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36,0,0,1,0,0,0,0,36,30,1
38.0,36.0,41.0,37.0,31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37,0,0,0,1,0,0,0,37,31,1
36.0,41.0,37.0,31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36,0,1,0,0,0,0,0,36,1,2
41.0,37.0,31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38,0,0,0,0,0,1,0,38,2,2
37.0,31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43,0,0,0,0,0,0,1,43,3,2
31.0,37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44,0,0,0,0,1,0,0,44,4,2
37.0,34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44,1,0,0,0,0,0,0,44,5,2
34.0,41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46,0,0,1,0,0,0,0,46,6,2
41.0,44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46,0,0,0,1,0,0,0,46,7,2
44.0,45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43,0,1,0,0,0,0,0,43,8,2
45.0,44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45,0,0,0,0,0,1,0,45,9,2
44.0,44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44,0,0,0,0,0,0,1,44,10,2
44.0,39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40,0,0,0,0,1,0,0,40,11,2
39.0,44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37,1,0,0,0,0,0,0,37,12,2
44.0,43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44,0,0,1,0,0,0,0,44,13,2
43.0,40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44,0,0,0,1,0,0,0,44,14,2
40.0,44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39,0,1,0,0,0,0,0,39,15,2
44.0,44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41,0,0,0,0,0,1,0,41,16,2
44.0,41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41,0,0,0,0,0,0,1,41,17,2
41.0,38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51,0,0,0,0,1,0,0,51,18,2
38.0,37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74,1,0,0,0,0,0,0,74,19,2
37.0,43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46,0,0,1,0,0,0,0,46,20,2
43.0,38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43,0,0,0,1,0,0,0,43,21,2
38.0,38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41,0,1,0,0,0,0,0,41,22,2
38.0,35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43,0,0,0,0,0,1,0,43,23,2
35.0,44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45,0,0,0,0,0,0,1,45,24,2
44.0,45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38,0,0,0,0,1,0,0,38,25,2
45.0,36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47,1,0,0,0,0,0,0,47,26,2
36.0,37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49,0,0,1,0,0,0,0,49,27,2
37.0,36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47,0,0,0,1,0,0,0,47,28,2
36.0,38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47.0,46,0,1,0,0,0,0,0,46,29,2
38.0,43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47.0,46.0,42,0,0,0,0,0,1,0,42,1,3
43.0,44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47.0,46.0,42.0,49,0,0,0,0,0,0,1,49,2,3
44.0,44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47.0,46.0,42.0,49.0,47,0,0,0,0,1,0,0,47,3,3
44.0,46.0,46.0,43.0,45.0,44.0,40.0,37.0,44.0,44.0,39.0,41.0,41.0,51.0,74.0,46.0,43.0,41.0,43.0,45.0,38.0,47.0,49.0,47.0,46.0,42.0,49.0,47.0,44,1,0,0,0,0,0,0,44,4,3
