lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,31.0,34.0,39.0,48.0,61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46,0,0,1,0,0,0,0,46,30,1
31.0,34.0,39.0,48.0,61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62,0,0,0,1,0,0,0,62,31,1
34.0,39.0,48.0,61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64,0,1,0,0,0,0,0,64,1,2
39.0,48.0,61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69,0,0,0,0,0,1,0,69,2,2
48.0,61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35,0,0,0,0,0,0,1,35,3,2
61.0,58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35.0,37,0,0,0,0,1,0,0,37,4,2
58.0,47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35.0,37.0,52,1,0,0,0,0,0,0,52,5,2
47.0,31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35.0,37.0,52.0,62,0,0,1,0,0,0,0,62,6,2
31.0,40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35.0,37.0,52.0,62.0,35,0,0,0,1,0,0,0,35,7,2
40.0,53.0,58.0,51.0,61.0,57.0,42.0,51.0,63.0,52.0,71.0,61.0,52.0,65.0,59.0,35.0,36.0,39.0,48.0,46.0,62.0,64.0,69.0,35.0,37.0,52.0,62.0,35.0,30,0,1,0,0,0,0,0,30,8,2
