lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,29.0,29.0,33.0,26.0,80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40,0,0,1,0,0,0,0,40,30,1
29.0,29.0,33.0,26.0,80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39,0,0,0,1,0,0,0,39,31,1
29.0,33.0,26.0,80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33,0,1,0,0,0,0,0,33,1,2
33.0,26.0,80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51,0,0,0,0,0,1,0,51,2,2
26.0,80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29,0,0,0,0,0,0,1,29,3,2
80.0,24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29.0,36,0,0,0,0,1,0,0,36,4,2
24.0,29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29.0,36.0,47,1,0,0,0,0,0,0,47,5,2
29.0,29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29.0,36.0,47.0,56,0,0,1,0,0,0,0,56,6,2
29.0,26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29.0,36.0,47.0,56.0,37,0,0,0,1,0,0,0,37,7,2
26.0,29.0,30.0,37.0,27.0,24.0,27.0,29.0,61.0,64.0,73.0,68.0,63.0,57.0,53.0,48.0,47.0,31.0,38.0,40.0,39.0,33.0,51.0,29.0,36.0,47.0,56.0,37.0,26,0,1,0,0,0,0,0,26,8,2
