lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,46.0,44.0,36.0,47.0,58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44,0,0,0,0,0,1,0,44,14,6
46.0,44.0,36.0,47.0,58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44,0,0,0,0,0,0,1,44,15,6
44.0,36.0,47.0,58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47,0,0,0,0,1,0,0,47,16,6
36.0,47.0,58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58,1,0,0,0,0,0,0,58,17,6
47.0,58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50,0,0,1,0,0,0,0,50,18,6
58.0,36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46,0,0,0,1,0,0,0,46,19,6
36.0,64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49,0,1,0,0,0,0,0,49,20,6
64.0,77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51,0,0,0,0,0,1,0,51,21,6
77.0,101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37,0,0,0,0,0,0,1,37,22,6
101.0,100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37.0,45,0,0,0,0,1,0,0,45,23,6
100.0,67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37.0,45.0,58,1,0,0,0,0,0,0,58,24,6
67.0,34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37.0,45.0,58.0,54,0,0,1,0,0,0,0,54,25,6
34.0,44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37.0,45.0,58.0,54.0,44,0,0,0,1,0,0,0,44,26,6
44.0,44.0,44.0,58.0,64.0,44.0,30.0,50.0,32.0,42.0,84.0,41.0,46.0,67.0,74.0,44.0,44.0,47.0,58.0,50.0,46.0,49.0,51.0,37.0,45.0,58.0,54.0,44.0,42,0,1,0,0,0,0,0,42,27,6
