lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
39.0,39.0,37.0,30.0,23.0,31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34,0,0,1,0,0,0,0,34,30,4
39.0,37.0,30.0,23.0,31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31,0,0,0,1,0,0,0,31,1,5
37.0,30.0,23.0,31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37,0,1,0,0,0,0,0,37,2,5
30.0,23.0,31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44,0,0,0,0,0,1,0,44,3,5
23.0,31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43,0,0,0,0,0,0,1,43,4,5
31.0,36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43,0,0,0,0,1,0,0,43,5,5
36.0,40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50,1,0,0,0,0,0,0,50,6,5
40.0,32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42,0,0,1,0,0,0,0,42,7,5
32.0,37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44,0,0,0,1,0,0,0,44,8,5
37.0,42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31,0,1,0,0,0,0,0,31,9,5
42.0,46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25,0,0,0,0,0,1,0,25,10,5
46.0,71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22,0,0,0,0,0,0,1,22,11,5
71.0,61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24,0,0,0,0,1,0,0,24,12,5
61.0,80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29,1,0,0,0,0,0,0,29,13,5
80.0,51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38,0,0,1,0,0,0,0,38,14,5
51.0,48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40,0,0,0,1,0,0,0,40,15,5
48.0,31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42,0,1,0,0,0,0,0,42,16,5
31.0,32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39,0,0,0,0,0,1,0,39,17,5
32.0,39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49,0,0,0,0,0,0,1,49,18,5
39.0,34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64,0,0,0,0,1,0,0,64,19,5
34.0,43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64,1,0,0,0,0,0,0,64,20,5
43.0,46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77,0,0,1,0,0,0,0,77,21,5
46.0,35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77.0,74,0,0,0,1,0,0,0,74,22,5
35.0,30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77.0,74.0,46,0,1,0,0,0,0,0,46,23,5
30.0,37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77.0,74.0,46.0,58,0,0,0,0,0,1,0,58,24,5
37.0,30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77.0,74.0,46.0,58.0,42,0,0,0,0,0,0,1,42,25,5
30.0,33.0,34.0,31.0,37.0,44.0,43.0,43.0,50.0,42.0,44.0,31.0,25.0,22.0,24.0,29.0,38.0,40.0,42.0,39.0,49.0,64.0,64.0,77.0,74.0,46.0,58.0,42.0,77,0,0,0,0,1,0,0,77,26,5
