lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,35.0,31.0,26.0,35.0,26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42,0,0,1,0,0,0,0,42,30,1
35.0,31.0,26.0,35.0,26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38,0,0,0,1,0,0,0,38,31,1
31.0,26.0,35.0,26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34,0,1,0,0,0,0,0,34,1,2
26.0,35.0,26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31,0,0,0,0,0,1,0,31,2,2
35.0,26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34,0,0,0,0,0,0,1,34,3,2
26.0,31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35,0,0,0,0,1,0,0,35,4,2
31.0,36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36,1,0,0,0,0,0,0,36,5,2
36.0,24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40,0,0,1,0,0,0,0,40,6,2
24.0,32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44,0,0,0,1,0,0,0,44,7,2
32.0,34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44.0,40,0,1,0,0,0,0,0,40,8,2
34.0,38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44.0,40.0,39,0,0,0,0,0,1,0,39,9,2
38.0,38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44.0,40.0,39.0,40,0,0,0,0,0,0,1,40,10,2
38.0,40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44.0,40.0,39.0,40.0,47,0,0,0,0,1,0,0,47,11,2
40.0,31.0,32.0,33.0,32.0,37.0,36.0,30.0,31.0,33.0,38.0,31.0,27.0,34.0,42.0,42.0,38.0,34.0,31.0,34.0,35.0,36.0,40.0,44.0,40.0,39.0,40.0,47.0,41,1,0,0,0,0,0,0,41,12,2
