lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,44.0,19.0,38.0,69.0,78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48,0,0,1,0,0,0,0,48,30,1
44.0,19.0,38.0,69.0,78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71,0,0,0,1,0,0,0,71,31,1
19.0,38.0,69.0,78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51,0,1,0,0,0,0,0,51,1,2
38.0,69.0,78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39,0,0,0,0,0,1,0,39,2,2
69.0,78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39,0,0,0,0,0,0,1,39,3,2
78.0,69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32,0,0,0,0,1,0,0,32,4,2
69.0,51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29,1,0,0,0,0,0,0,29,5,2
51.0,71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52,0,0,1,0,0,0,0,52,6,2
71.0,26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59,0,0,0,1,0,0,0,59,7,2
26.0,34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54,0,1,0,0,0,0,0,54,8,2
34.0,35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25,0,0,0,0,0,1,0,25,9,2
35.0,52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33,0,0,0,0,0,0,1,33,10,2
52.0,65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29,0,0,0,0,1,0,0,29,11,2
65.0,48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43,1,0,0,0,0,0,0,43,12,2
48.0,38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33,0,0,1,0,0,0,0,33,13,2
38.0,29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21,0,0,0,1,0,0,0,21,14,2
29.0,31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38,0,1,0,0,0,0,0,38,15,2
31.0,51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43,0,0,0,0,0,1,0,43,16,2
51.0,58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53,0,0,0,0,0,0,1,53,17,2
58.0,49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30,0,0,0,0,1,0,0,30,18,2
49.0,18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41,1,0,0,0,0,0,0,41,19,2
18.0,51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47,0,0,1,0,0,0,0,47,20,2
51.0,86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70,0,0,0,1,0,0,0,70,21,2
86.0,73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44,0,1,0,0,0,0,0,44,22,2
73.0,48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30,0,0,0,0,0,1,0,30,23,2
48.0,72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29,0,0,0,0,0,0,1,29,24,2
72.0,47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14,0,0,0,0,1,0,0,14,25,2
47.0,48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21,1,0,0,0,0,0,0,21,26,2
48.0,71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35,0,0,1,0,0,0,0,35,27,2
71.0,51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50,0,0,0,1,0,0,0,50,28,2
51.0,39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50.0,37,0,1,0,0,0,0,0,37,29,2
39.0,39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50.0,37.0,44,0,0,0,0,0,1,0,44,1,3
39.0,32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50.0,37.0,44.0,26,0,0,0,0,0,0,1,26,2,3
32.0,29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50.0,37.0,44.0,26.0,40,0,0,0,0,1,0,0,40,3,3
29.0,52.0,59.0,54.0,25.0,33.0,29.0,43.0,33.0,21.0,38.0,43.0,53.0,30.0,41.0,47.0,70.0,44.0,30.0,29.0,14.0,21.0,35.0,50.0,37.0,44.0,26.0,40.0,57,1,0,0,0,0,0,0,57,4,3
