lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,29.0,26.0,29.0,29.0,13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26,0,0,1,0,0,0,0,26,30,1
29.0,26.0,29.0,29.0,13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31,0,0,0,1,0,0,0,31,31,1
26.0,29.0,29.0,13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37,0,1,0,0,0,0,0,37,1,2
29.0,29.0,13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37,0,0,0,0,0,1,0,37,2,2
29.0,13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37,0,0,0,0,0,0,1,37,3,2
13.0,21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37.0,34,0,0,0,0,1,0,0,34,4,2
21.0,20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37.0,34.0,32,1,0,0,0,0,0,0,32,5,2
20.0,32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37.0,34.0,32.0,32,0,0,1,0,0,0,0,32,6,2
32.0,32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37.0,34.0,32.0,32.0,35,0,0,0,1,0,0,0,35,7,2
32.0,22.0,33.0,27.0,18.0,26.0,29.0,32.0,35.0,34.0,35.0,36.0,34.0,36.0,31.0,31.0,30.0,29.0,26.0,26.0,31.0,37.0,37.0,37.0,34.0,32.0,32.0,35.0,34,0,1,0,0,0,0,0,34,8,2
