lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
13.0,19.0,23.0,49.0,60.0,70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8,0,0,1,0,0,0,0,8,30,1
19.0,23.0,49.0,60.0,70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41,0,0,0,1,0,0,0,41,31,1
23.0,49.0,60.0,70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34,0,1,0,0,0,0,0,34,1,2
49.0,60.0,70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24,0,0,0,0,0,1,0,24,2,2
60.0,70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12,0,0,0,0,0,0,1,12,3,2
70.0,31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24,0,0,0,0,1,0,0,24,4,2
31.0,5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30,1,0,0,0,0,0,0,30,5,2
5.0,12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16,0,0,1,0,0,0,0,16,6,2
12.0,39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11,0,0,0,1,0,0,0,11,7,2
39.0,23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10,0,1,0,0,0,0,0,10,8,2
23.0,55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7,0,0,0,0,0,1,0,7,9,2
55.0,68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8,0,0,0,0,0,0,1,8,10,2
68.0,21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8.0,15,0,0,0,0,1,0,0,15,11,2
21.0,6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8.0,15.0,4,1,0,0,0,0,0,0,4,12,2
6.0,11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8.0,15.0,4.0,15,0,0,1,0,0,0,0,15,13,2
11.0,23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8.0,15.0,4.0,15.0,21,0,0,0,1,0,0,0,21,14,2
23.0,22.0,68.0,39.0,22.0,40.0,57.0,40.0,11.0,15.0,20.0,19.0,8.0,41.0,34.0,24.0,12.0,24.0,30.0,16.0,11.0,10.0,7.0,8.0,15.0,4.0,15.0,21.0,53,0,1,0,0,0,0,0,53,15,2
