lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,33.0,27.0,52.0,41.0,22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24,0,0,1,0,0,0,0,24,30,1
33.0,27.0,52.0,41.0,22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21,0,0,0,1,0,0,0,21,31,1
27.0,52.0,41.0,22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6,0,1,0,0,0,0,0,6,1,2
52.0,41.0,22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11,0,0,0,0,0,1,0,11,2,2
41.0,22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14,0,0,0,0,0,0,1,14,3,2
22.0,26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23,0,0,0,0,1,0,0,23,4,2
26.0,17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46,1,0,0,0,0,0,0,46,5,2
17.0,16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36,0,0,1,0,0,0,0,36,6,2
16.0,35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0,0,0,0,1,0,0,0,0,7,2
35.0,25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0,0,1,0,0,0,0,0,0,8,2
25.0,35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4,0,0,0,0,0,1,0,4,9,2
35.0,38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10,0,0,0,0,0,0,1,10,10,2
38.0,51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22,0,0,0,0,1,0,0,22,11,2
51.0,22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30,1,0,0,0,0,0,0,30,12,2
22.0,16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21,0,0,1,0,0,0,0,21,13,2
16.0,36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35,0,0,0,1,0,0,0,35,14,2
36.0,21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36,0,1,0,0,0,0,0,36,15,2
21.0,55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33,0,0,0,0,0,1,0,33,16,2
55.0,54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45,0,0,0,0,0,0,1,45,17,2
54.0,74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56,0,0,0,0,1,0,0,56,18,2
74.0,59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23,1,0,0,0,0,0,0,23,19,2
59.0,47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28,0,0,1,0,0,0,0,28,20,2
47.0,48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21,0,0,0,1,0,0,0,21,21,2
48.0,40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25,0,1,0,0,0,0,0,25,22,2
40.0,29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38,0,0,0,0,0,1,0,38,23,2
29.0,10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22,0,0,0,0,0,0,1,22,24,2
10.0,18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29,0,0,0,0,1,0,0,29,25,2
18.0,24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29,1,0,0,0,0,0,0,29,26,2
24.0,21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20,0,0,1,0,0,0,0,20,27,2
21.0,6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6,0,0,0,1,0,0,0,6,28,2
6.0,11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14,0,1,0,0,0,0,0,14,29,2
11.0,14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22,0,0,0,0,0,1,0,22,1,3
14.0,23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22.0,12,0,0,0,0,0,0,1,12,2,3
23.0,46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22.0,12.0,32,0,0,0,0,1,0,0,32,3,3
46.0,36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22.0,12.0,32.0,36,0,0,1,0,0,0,0,36,5,3
36.0,0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22.0,12.0,32.0,36.0,45,0,0,0,1,0,0,0,45,6,3
0.0,0.0,4.0,10.0,22.0,30.0,21.0,35.0,36.0,33.0,45.0,56.0,23.0,28.0,21.0,25.0,38.0,22.0,29.0,29.0,20.0,6.0,14.0,22.0,12.0,32.0,36.0,45.0,48,0,1,0,0,0,0,0,48,7,3
