lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
45.0,52.0,40.0,44.0,57.0,59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45,0,0,1,0,0,0,0,45,30,1
52.0,40.0,44.0,57.0,59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51,0,0,0,1,0,0,0,51,31,1
40.0,44.0,57.0,59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42,0,1,0,0,0,0,0,42,1,2
44.0,57.0,59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33,0,0,0,0,0,1,0,33,2,2
57.0,59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29,0,0,0,0,0,0,1,29,3,2
59.0,54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29.0,30,0,0,0,0,1,0,0,30,4,2
54.0,50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29.0,30.0,31,1,0,0,0,0,0,0,31,5,2
50.0,32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29.0,30.0,31.0,35,0,0,1,0,0,0,0,35,6,2
32.0,38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29.0,30.0,31.0,35.0,45,0,0,0,1,0,0,0,45,7,2
38.0,36.0,40.0,52.0,57.0,43.0,34.0,37.0,31.0,31.0,31.0,34.0,33.0,45.0,55.0,56.0,40.0,39.0,46.0,45.0,51.0,42.0,33.0,29.0,30.0,31.0,35.0,45.0,35,0,1,0,0,0,0,0,35,8,2
