lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,44.0,45.0,46.0,41.0,39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39,0,0,0,1,0,0,0,39,1,5
44.0,45.0,46.0,41.0,39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42,0,1,0,0,0,0,0,42,2,5
45.0,46.0,41.0,39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41,0,0,0,0,0,1,0,41,3,5
46.0,41.0,39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45,0,0,0,0,0,0,1,45,4,5
41.0,39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38,0,0,0,0,1,0,0,38,5,5
39.0,45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38.0,50,1,0,0,0,0,0,0,50,6,5
45.0,48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38.0,50.0,51,0,0,1,0,0,0,0,51,7,5
48.0,48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38.0,50.0,51.0,58,0,0,0,1,0,0,0,58,8,5
48.0,46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38.0,50.0,51.0,58.0,80,0,1,0,0,0,0,0,80,9,5
46.0,46.0,67.0,58.0,51.0,77.0,87.0,87.0,97.0,61.0,46.0,50.0,51.0,67.0,47.0,46.0,54.0,64.0,61.0,39.0,42.0,41.0,45.0,38.0,50.0,51.0,58.0,80.0,51,0,0,0,0,0,1,0,51,10,5
