lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
56.0,50.0,32.0,55.0,60.0,63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45,0,0,1,0,0,0,0,45,30,1
50.0,32.0,55.0,60.0,63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50,0,0,0,1,0,0,0,50,31,1
32.0,55.0,60.0,63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41,0,1,0,0,0,0,0,41,1,2
55.0,60.0,63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36,0,0,0,0,0,1,0,36,2,2
60.0,63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36,0,0,0,0,0,0,1,36,3,2
63.0,62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36.0,38,0,0,0,0,1,0,0,38,4,2
62.0,41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36.0,38.0,50,1,0,0,0,0,0,0,50,5,2
41.0,31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36.0,38.0,50.0,54,0,0,1,0,0,0,0,54,6,2
31.0,35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36.0,38.0,50.0,54.0,58,0,0,0,1,0,0,0,58,7,2
35.0,45.0,59.0,55.0,55.0,43.0,38.0,44.0,52.0,61.0,70.0,56.0,37.0,58.0,58.0,39.0,38.0,45.0,38.0,45.0,50.0,41.0,36.0,36.0,38.0,50.0,54.0,58.0,54,0,1,0,0,0,0,0,54,8,2
