lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,32.0,31.0,27.0,43.0,51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31,0,0,1,0,0,0,0,31,30,1
32.0,31.0,27.0,43.0,51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41,0,0,0,1,0,0,0,41,31,1
31.0,27.0,43.0,51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29,0,1,0,0,0,0,0,29,1,2
27.0,43.0,51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32,0,0,0,0,0,1,0,32,2,2
43.0,51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32,0,0,0,0,0,0,1,32,3,2
51.0,42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27,0,0,0,0,1,0,0,27,4,2
42.0,28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34,1,0,0,0,0,0,0,34,5,2
28.0,32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33,0,0,1,0,0,0,0,33,6,2
32.0,29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39,0,0,0,1,0,0,0,39,7,2
29.0,33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39.0,37,0,1,0,0,0,0,0,37,8,2
33.0,31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39.0,37.0,24,0,0,0,0,0,1,0,24,9,2
31.0,44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39.0,37.0,24.0,37,0,0,0,0,0,0,1,37,10,2
44.0,36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39.0,37.0,24.0,37.0,38,0,0,0,0,1,0,0,38,11,2
36.0,31.0,30.0,27.0,31.0,30.0,38.0,33.0,34.0,32.0,35.0,34.0,21.0,29.0,31.0,31.0,41.0,29.0,32.0,32.0,27.0,34.0,33.0,39.0,37.0,24.0,37.0,38.0,37,1,0,0,0,0,0,0,37,12,2
