lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
59.0,59.0,35.0,49.0,59.0,41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20,0,0,1,0,0,0,0,20,6,2
59.0,35.0,49.0,59.0,41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15,0,0,0,0,0,1,0,15,9,2
35.0,49.0,59.0,41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30,0,0,0,0,0,0,1,30,10,2
49.0,59.0,41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16,0,0,0,0,1,0,0,16,11,2
59.0,41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15,1,0,0,0,0,0,0,15,12,2
41.0,54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28,0,0,1,0,0,0,0,28,13,2
54.0,11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28,0,0,0,1,0,0,0,28,14,2
11.0,4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33,0,1,0,0,0,0,0,33,15,2
4.0,13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10,0,0,0,0,0,1,0,10,16,2
13.0,13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18,0,0,0,0,0,0,1,18,17,2
13.0,9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19,0,0,0,0,1,0,0,19,18,2
9.0,8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16,1,0,0,0,0,0,0,16,19,2
8.0,6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22,0,0,1,0,0,0,0,22,20,2
6.0,7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23,0,0,0,1,0,0,0,23,21,2
7.0,11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9,0,1,0,0,0,0,0,9,22,2
11.0,12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9,0,0,0,0,0,1,0,9,23,2
12.0,21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12,0,0,0,0,0,0,1,12,24,2
21.0,26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1,0,0,0,0,1,0,0,1,25,2
26.0,20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6,1,0,0,0,0,0,0,6,26,2
20.0,5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20,0,0,1,0,0,0,0,20,27,2
5.0,18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27,0,0,0,1,0,0,0,27,28,2
18.0,18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19,0,1,0,0,0,0,0,19,29,2
18.0,29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44,0,0,0,0,0,1,0,44,1,3
29.0,15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40,0,0,0,0,0,0,1,40,2,3
15.0,4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36,0,0,0,0,1,0,0,36,3,3
4.0,1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34,1,0,0,0,0,0,0,34,4,3
1.0,0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39,0,0,1,0,0,0,0,39,5,3
0.0,20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42,0,0,0,1,0,0,0,42,6,3
20.0,15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52,0,1,0,0,0,0,0,52,7,3
15.0,30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39,0,0,0,0,0,1,0,39,8,3
30.0,16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64,0,0,0,0,0,0,1,64,9,3
16.0,15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51,0,0,0,0,1,0,0,51,10,3
15.0,28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35,1,0,0,0,0,0,0,35,11,3
28.0,28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39,0,0,1,0,0,0,0,39,12,3
28.0,33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46,0,0,0,1,0,0,0,46,13,3
33.0,10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37,0,1,0,0,0,0,0,37,14,3
10.0,18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37,0,0,0,0,0,1,0,37,15,3
18.0,19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37,0,0,0,0,0,0,1,37,16,3
19.0,16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41,0,0,0,0,1,0,0,41,17,3
16.0,22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31,1,0,0,0,0,0,0,31,18,3
22.0,23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44,0,0,1,0,0,0,0,44,19,3
23.0,9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42,0,0,0,1,0,0,0,42,20,3
9.0,9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44,0,1,0,0,0,0,0,44,21,3
9.0,12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44,0,0,0,0,0,1,0,44,22,3
12.0,1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49,0,0,0,0,0,0,1,49,23,3
1.0,6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42,0,0,0,0,1,0,0,42,24,3
6.0,20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35,1,0,0,0,0,0,0,35,25,3
20.0,27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34,0,0,1,0,0,0,0,34,26,3
27.0,19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39,0,0,0,1,0,0,0,39,27,3
19.0,44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35,0,1,0,0,0,0,0,35,28,3
44.0,40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43,0,0,0,0,0,1,0,43,29,3
40.0,36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45,0,0,0,0,0,0,1,45,30,3
36.0,34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50,0,0,0,0,1,0,0,50,31,3
34.0,39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36,1,0,0,0,0,0,0,36,1,4
39.0,42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36,0,0,1,0,0,0,0,36,2,4
42.0,52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40,0,0,0,1,0,0,0,40,3,4
52.0,39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36,0,1,0,0,0,0,0,36,4,4
39.0,64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43,0,0,0,0,0,1,0,43,5,4
64.0,51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46,0,0,0,0,0,0,1,46,6,4
51.0,35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47,0,0,0,0,1,0,0,47,7,4
35.0,39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36,1,0,0,0,0,0,0,36,8,4
39.0,46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44,0,0,1,0,0,0,0,44,9,4
46.0,37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43,0,0,0,1,0,0,0,43,10,4
37.0,37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50,0,1,0,0,0,0,0,50,11,4
37.0,37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50.0,48,0,0,0,0,0,1,0,48,12,4
37.0,41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50.0,48.0,39,0,0,0,0,0,0,1,39,13,4
41.0,31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50.0,48.0,39.0,40,0,0,0,0,1,0,0,40,14,4
31.0,44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50.0,48.0,39.0,40.0,45,1,0,0,0,0,0,0,45,15,4
44.0,42.0,44.0,44.0,49.0,42.0,35.0,34.0,39.0,35.0,43.0,45.0,50.0,36.0,36.0,40.0,36.0,43.0,46.0,47.0,36.0,44.0,43.0,50.0,48.0,39.0,40.0,45.0,46,0,0,1,0,0,0,0,46,16,4
