lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,25.0,31.0,30.0,31.0,15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44,0,0,0,1,0,0,0,44,31,1
25.0,31.0,30.0,31.0,15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34,0,1,0,0,0,0,0,34,1,2
31.0,30.0,31.0,15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26,0,0,0,0,0,1,0,26,2,2
30.0,31.0,15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27,0,0,0,0,0,0,1,27,3,2
31.0,15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28,0,0,0,0,1,0,0,28,4,2
15.0,14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37,1,0,0,0,0,0,0,37,5,2
14.0,24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37,0,0,1,0,0,0,0,37,6,2
24.0,30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41,0,0,0,1,0,0,0,41,7,2
30.0,35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38,0,1,0,0,0,0,0,38,8,2
35.0,37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28,0,0,0,0,0,1,0,28,9,2
37.0,41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34,0,0,0,0,0,0,1,34,10,2
41.0,30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40,0,0,0,0,1,0,0,40,11,2
30.0,34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37,1,0,0,0,0,0,0,37,12,2
34.0,31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39,0,0,1,0,0,0,0,39,13,2
31.0,36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36,0,0,0,1,0,0,0,36,14,2
36.0,30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30,0,1,0,0,0,0,0,30,15,2
30.0,23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37,0,0,0,0,0,0,1,37,17,2
23.0,29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36,0,0,0,0,1,0,0,36,18,2
29.0,27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44,1,0,0,0,0,0,0,44,19,2
27.0,29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30,0,0,1,0,0,0,0,30,20,2
29.0,35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30,0,0,0,1,0,0,0,30,21,2
35.0,34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30.0,23,0,1,0,0,0,0,0,23,22,2
34.0,34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30.0,23.0,21,0,0,0,0,0,1,0,21,23,2
34.0,25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30.0,23.0,21.0,34,0,0,0,0,0,0,1,34,24,2
25.0,22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30.0,23.0,21.0,34.0,32,0,0,0,0,1,0,0,32,25,2
22.0,37.0,35.0,44.0,34.0,26.0,27.0,28.0,37.0,37.0,41.0,38.0,28.0,34.0,40.0,37.0,39.0,36.0,30.0,37.0,36.0,44.0,30.0,30.0,23.0,21.0,34.0,32.0,37,1,0,0,0,0,0,0,37,26,2
