lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,20.0,31.0,33.0,28.0,34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42,0,1,0,0,0,0,0,42,8,2
20.0,31.0,33.0,28.0,34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27,0,0,0,0,0,1,0,27,9,2
31.0,33.0,28.0,34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33,0,0,0,0,0,0,1,33,10,2
33.0,28.0,34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37,0,0,0,0,1,0,0,37,11,2
28.0,34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37,1,0,0,0,0,0,0,37,12,2
34.0,18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38,0,0,1,0,0,0,0,38,13,2
18.0,18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35,0,0,0,1,0,0,0,35,14,2
18.0,27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31,0,1,0,0,0,0,0,31,15,2
27.0,5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37,0,0,0,0,0,1,0,37,16,2
5.0,6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38,0,0,0,0,0,0,1,38,17,2
6.0,27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43,0,0,0,0,1,0,0,43,18,2
27.0,30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42,1,0,0,0,0,0,0,42,19,2
30.0,31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61,0,0,1,0,0,0,0,61,20,2
31.0,24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55,0,0,0,1,0,0,0,55,21,2
24.0,40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41,0,1,0,0,0,0,0,41,22,2
40.0,32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24,0,0,0,0,0,1,0,24,23,2
32.0,35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35,0,0,0,0,0,0,1,35,24,2
35.0,36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37,0,0,0,0,1,0,0,37,25,2
36.0,37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36,1,0,0,0,0,0,0,36,26,2
37.0,46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39,0,0,1,0,0,0,0,39,27,2
46.0,39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50,0,0,0,1,0,0,0,50,28,2
39.0,37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59,0,1,0,0,0,0,0,59,29,2
37.0,31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59,0,0,0,0,0,1,0,59,1,3
31.0,26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36,0,0,0,0,0,0,1,36,2,3
26.0,36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34,0,0,0,0,1,0,0,34,3,3
36.0,35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35,1,0,0,0,0,0,0,35,4,3
35.0,35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35,0,0,1,0,0,0,0,35,5,3
35.0,42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40,0,0,0,1,0,0,0,40,6,3
42.0,27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40.0,43,0,1,0,0,0,0,0,43,7,3
27.0,33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40.0,43.0,51,0,0,0,0,0,1,0,51,8,3
33.0,37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40.0,43.0,51.0,42,0,0,0,0,0,0,1,42,9,3
37.0,37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40.0,43.0,51.0,42.0,42,0,0,0,0,1,0,0,42,10,3
37.0,38.0,35.0,31.0,37.0,38.0,43.0,42.0,61.0,55.0,41.0,24.0,35.0,37.0,36.0,39.0,50.0,59.0,59.0,36.0,34.0,35.0,35.0,40.0,43.0,51.0,42.0,42.0,33,1,0,0,0,0,0,0,33,11,3
