lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
35.0,38.0,38.0,26.0,20.0,30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32,0,0,1,0,0,0,0,32,30,1
38.0,38.0,26.0,20.0,30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36,0,0,0,1,0,0,0,36,31,1
38.0,26.0,20.0,30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33,0,1,0,0,0,0,0,33,1,2
26.0,20.0,30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37,0,0,0,0,0,1,0,37,2,2
20.0,30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38,0,0,0,0,0,0,1,38,3,2
30.0,19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38,0,0,0,0,1,0,0,38,4,2
19.0,31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38,1,0,0,0,0,0,0,38,5,2
31.0,23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41,0,0,1,0,0,0,0,41,6,2
23.0,39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41,0,0,0,1,0,0,0,41,7,2
39.0,30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40,0,1,0,0,0,0,0,40,8,2
30.0,34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40,0,0,0,0,0,1,0,40,9,2
34.0,38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41,0,0,0,0,0,0,1,41,10,2
38.0,38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40,0,0,0,0,1,0,0,40,11,2
38.0,31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41,1,0,0,0,0,0,0,41,12,2
31.0,19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46,0,0,1,0,0,0,0,46,13,2
19.0,24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37,0,0,0,1,0,0,0,37,14,2
24.0,32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39,0,1,0,0,0,0,0,39,15,2
32.0,35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38,0,0,0,0,0,1,0,38,16,2
35.0,37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41,0,0,0,0,0,0,1,41,17,2
37.0,36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39,0,0,0,0,1,0,0,39,18,2
36.0,34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39,1,0,0,0,0,0,0,39,19,2
34.0,37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46,0,0,1,0,0,0,0,46,20,2
37.0,38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41,0,0,0,1,0,0,0,41,21,2
38.0,35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38,0,1,0,0,0,0,0,38,22,2
35.0,39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32,0,0,0,0,0,1,0,32,23,2
39.0,38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42,0,0,0,0,0,0,1,42,24,2
38.0,37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40,0,0,0,0,1,0,0,40,25,2
37.0,32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44,1,0,0,0,0,0,0,44,26,2
32.0,36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45,0,0,1,0,0,0,0,45,27,2
36.0,33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40,0,0,0,1,0,0,0,40,28,2
33.0,37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43,0,1,0,0,0,0,0,43,29,2
37.0,38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43,0,0,0,0,0,1,0,43,1,3
38.0,38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41,0,0,0,0,0,0,1,41,2,3
38.0,38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41.0,45,0,0,0,0,1,0,0,45,3,3
38.0,41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41.0,45.0,45,1,0,0,0,0,0,0,45,4,3
41.0,41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41.0,45.0,45.0,47,0,0,1,0,0,0,0,47,5,3
41.0,40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41.0,45.0,45.0,47.0,35,0,0,0,1,0,0,0,35,6,3
40.0,40.0,41.0,40.0,41.0,46.0,37.0,39.0,38.0,41.0,39.0,39.0,46.0,41.0,38.0,32.0,42.0,40.0,44.0,45.0,40.0,43.0,43.0,41.0,45.0,45.0,47.0,35.0,37,0,1,0,0,0,0,0,37,7,3
