lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
83.0,87.0,101.0,85.0,75.0,57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42,0,0,1,0,0,0,0,42,30,1
87.0,101.0,85.0,75.0,57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42,0,0,0,1,0,0,0,42,31,1
101.0,85.0,75.0,57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37,0,1,0,0,0,0,0,37,1,2
85.0,75.0,57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40,0,0,0,0,0,1,0,40,2,2
75.0,57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46,0,0,0,0,0,0,1,46,3,2
57.0,35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55,0,0,0,0,1,0,0,55,4,2
35.0,39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68,1,0,0,0,0,0,0,68,5,2
39.0,43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74,0,0,1,0,0,0,0,74,6,2
43.0,43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74.0,114,0,0,0,1,0,0,0,114,7,2
43.0,81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74.0,114.0,135,0,1,0,0,0,0,0,135,8,2
81.0,108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74.0,114.0,135.0,143,0,0,0,0,0,1,0,143,9,2
108.0,74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74.0,114.0,135.0,143.0,153,0,0,0,0,0,0,1,153,10,2
74.0,53.0,38.0,41.0,39.0,38.0,39.0,44.0,70.0,69.0,44.0,36.0,56.0,82.0,107.0,81.0,42.0,42.0,37.0,40.0,46.0,55.0,68.0,74.0,114.0,135.0,143.0,153.0,152,0,0,0,0,1,0,0,152,11,2
