lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
49.0,56.0,94.0,65.0,47.0,26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8,0,0,1,0,0,0,0,8,30,1
56.0,94.0,65.0,47.0,26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4,0,0,0,1,0,0,0,4,31,1
94.0,65.0,47.0,26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10,0,1,0,0,0,0,0,10,1,2
65.0,47.0,26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8,0,0,0,0,0,1,0,8,2,2
47.0,26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11,0,0,0,0,0,0,1,11,3,2
26.0,13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18,0,0,0,0,1,0,0,18,4,2
13.0,23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31,1,0,0,0,0,0,0,31,5,2
23.0,12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27,0,0,1,0,0,0,0,27,6,2
12.0,8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40,0,0,0,1,0,0,0,40,7,2
8.0,40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63,0,1,0,0,0,0,0,63,8,2
40.0,43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54,0,0,0,0,0,1,0,54,9,2
43.0,20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57,0,0,0,0,0,0,1,57,10,2
20.0,15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61,0,0,0,0,1,0,0,61,11,2
15.0,9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120,1,0,0,0,0,0,0,120,12,2
9.0,8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108,0,0,1,0,0,0,0,108,13,2
8.0,20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35,0,0,0,1,0,0,0,35,14,2
20.0,20.0,6.0,18.0,52.0,78.0,29.0,15.0,18.0,34.0,48.0,59.0,8.0,4.0,10.0,8.0,11.0,18.0,31.0,27.0,40.0,63.0,54.0,57.0,61.0,120.0,108.0,35.0,9,0,1,0,0,0,0,0,9,15,2
