lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
85.0,104.0,91.0,47.0,64.0,61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39,0,0,1,0,0,0,0,39,30,1
104.0,91.0,47.0,64.0,61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49,0,0,0,1,0,0,0,49,31,1
91.0,47.0,64.0,61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33,0,1,0,0,0,0,0,33,1,2
47.0,64.0,61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32,0,0,0,0,0,1,0,32,2,2
64.0,61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70,0,0,0,0,0,0,1,70,3,2
61.0,32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50,0,0,0,0,1,0,0,50,4,2
32.0,42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74,1,0,0,0,0,0,0,74,5,2
42.0,40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115,0,0,1,0,0,0,0,115,6,2
40.0,55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83,0,0,0,1,0,0,0,83,7,2
55.0,63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90,0,1,0,0,0,0,0,90,8,2
63.0,76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115,0,0,0,0,0,1,0,115,9,2
76.0,75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133,0,0,0,0,0,0,1,133,10,2
75.0,52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141,0,0,0,0,1,0,0,141,11,2
52.0,35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136,1,0,0,0,0,0,0,136,12,2
35.0,45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144,0,0,1,0,0,0,0,144,13,2
45.0,45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157,0,0,0,1,0,0,0,157,14,2
45.0,42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136,0,1,0,0,0,0,0,136,15,2
42.0,37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63,0,0,0,0,0,1,0,63,16,2
37.0,43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43,0,0,0,0,0,0,1,43,17,2
43.0,58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42,0,0,0,0,1,0,0,42,18,2
58.0,36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48,1,0,0,0,0,0,0,48,19,2
36.0,31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35,0,0,1,0,0,0,0,35,20,2
31.0,79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39,0,0,0,1,0,0,0,39,21,2
79.0,59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34,0,1,0,0,0,0,0,34,22,2
59.0,75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39,0,0,0,0,0,1,0,39,23,2
75.0,81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41,0,0,0,0,0,0,1,41,24,2
81.0,80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50,0,0,0,0,1,0,0,50,25,2
80.0,39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41,1,0,0,0,0,0,0,41,26,2
39.0,49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45,0,0,1,0,0,0,0,45,27,2
49.0,33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45.0,42,0,0,0,1,0,0,0,42,28,2
33.0,32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45.0,42.0,36,0,1,0,0,0,0,0,36,29,2
32.0,70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45.0,42.0,36.0,44,0,0,0,0,0,1,0,44,1,3
70.0,50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45.0,42.0,36.0,44.0,43,0,0,0,0,0,0,1,43,2,3
50.0,74.0,115.0,83.0,90.0,115.0,133.0,141.0,136.0,144.0,157.0,136.0,63.0,43.0,42.0,48.0,35.0,39.0,34.0,39.0,41.0,50.0,41.0,45.0,42.0,36.0,44.0,43.0,49,0,0,0,0,1,0,0,49,3,3
