lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
12.0,3.0,3.0,6.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12,0,1,0,0,0,0,0,12,28,3
3.0,3.0,6.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4,0,0,0,0,1,0,0,4,31,3
3.0,6.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5,0,0,0,1,0,0,0,5,3,4
6.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3,0,0,1,0,0,0,0,3,9,4
0.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5,0,0,0,0,0,1,0,5,12,4
2.0,3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6,1,0,0,0,0,0,0,6,15,4
3.0,1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3,0,1,0,0,0,0,0,3,18,4
1.0,3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12,0,0,0,0,1,0,0,12,21,4
3.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8,0,0,0,1,0,0,0,8,24,4
0.0,2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5,0,0,0,0,0,0,1,5,27,4
2.0,3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5,0,0,1,0,0,0,0,5,30,4
3.0,5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5,0,0,0,0,0,1,0,5,3,5
5.0,5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13,1,0,0,0,0,0,0,13,6,5
5.0,1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7,0,1,0,0,0,0,0,7,9,5
1.0,3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7,0,0,0,0,1,0,0,7,12,5
3.0,8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9,0,0,0,1,0,0,0,9,15,5
8.0,4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4,0,0,0,0,0,0,1,4,18,5
4.0,5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4.0,14,0,0,1,0,0,0,0,14,21,5
5.0,5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4.0,14.0,15,0,0,0,0,0,1,0,15,24,5
5.0,8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4.0,14.0,15.0,9,1,0,0,0,0,0,0,9,27,5
8.0,2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4.0,14.0,15.0,9.0,13,0,1,0,0,0,0,0,13,30,5
2.0,5.0,8.0,18.0,5.0,7.0,9.0,12.0,4.0,5.0,3.0,5.0,6.0,3.0,12.0,8.0,5.0,5.0,5.0,13.0,7.0,7.0,9.0,4.0,14.0,15.0,9.0,13.0,17,0,0,0,0,1,0,0,17,2,6
