lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
21.0,23.0,21.0,11.0,8.0,8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19,0,0,0,1,0,0,0,19,3,4
23.0,21.0,11.0,8.0,8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15,0,0,0,0,0,0,1,15,6,4
21.0,11.0,8.0,8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11,0,0,1,0,0,0,0,11,9,4
11.0,8.0,8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11,0,0,0,0,0,1,0,11,12,4
8.0,8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15,0,0,0,0,1,0,0,15,21,4
8.0,36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65,0,0,0,1,0,0,0,65,24,4
36.0,12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55,0,0,0,0,0,0,1,55,27,4
12.0,27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37,0,0,1,0,0,0,0,37,30,4
27.0,45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35,0,0,0,0,0,1,0,35,3,5
45.0,25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22,1,0,0,0,0,0,0,22,6,5
25.0,39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21,0,1,0,0,0,0,0,21,9,5
39.0,20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24,0,0,0,0,1,0,0,24,12,5
20.0,28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21,0,0,0,1,0,0,0,21,15,5
28.0,45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29,0,0,0,0,0,0,1,29,18,5
45.0,29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32,0,0,1,0,0,0,0,32,21,5
29.0,10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47,0,0,0,0,0,1,0,47,24,5
10.0,18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22,1,0,0,0,0,0,0,22,27,5
18.0,11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23,0,1,0,0,0,0,0,23,30,5
11.0,10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34,0,0,0,0,1,0,0,34,2,6
10.0,15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24,0,0,0,1,0,0,0,24,5,6
15.0,17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18,0,0,1,0,0,0,0,18,11,6
17.0,14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41,0,0,0,0,0,1,0,41,14,6
14.0,12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16,1,0,0,0,0,0,0,16,17,6
12.0,19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25,0,1,0,0,0,0,0,25,20,6
19.0,19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27,0,0,0,0,1,0,0,27,23,6
19.0,22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34,0,0,0,1,0,0,0,34,26,6
22.0,21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46,0,0,0,0,0,0,1,46,29,6
21.0,19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45,0,0,1,0,0,0,0,45,2,7
19.0,15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35,0,0,0,0,0,1,0,35,5,7
15.0,11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35.0,21,1,0,0,0,0,0,0,21,8,7
11.0,11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35.0,21.0,52,0,1,0,0,0,0,0,52,11,7
11.0,15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35.0,21.0,52.0,23,0,0,0,0,1,0,0,23,14,7
15.0,65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35.0,21.0,52.0,23.0,30,0,0,0,1,0,0,0,30,17,7
65.0,55.0,37.0,35.0,22.0,21.0,24.0,21.0,29.0,32.0,47.0,22.0,23.0,34.0,24.0,18.0,41.0,16.0,25.0,27.0,34.0,46.0,45.0,35.0,21.0,52.0,23.0,30.0,43,0,0,0,0,0,0,1,43,20,7
