lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
13.0,22.0,8.0,20.0,24.0,33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16,0,1,0,0,0,0,0,16,28,3
22.0,8.0,20.0,24.0,33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28,0,0,0,0,1,0,0,28,31,3
8.0,20.0,24.0,33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15,0,0,0,1,0,0,0,15,3,4
20.0,24.0,33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26,0,0,0,0,0,0,1,26,6,4
24.0,33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11,0,0,1,0,0,0,0,11,9,4
33.0,23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17,0,0,0,0,0,1,0,17,12,4
23.0,59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20,1,0,0,0,0,0,0,20,15,4
59.0,55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38,0,1,0,0,0,0,0,38,18,4
55.0,45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40,0,0,0,0,1,0,0,40,21,4
45.0,15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38,0,0,0,1,0,0,0,38,24,4
15.0,37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35,0,0,0,0,0,0,1,35,27,4
37.0,13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30,0,0,1,0,0,0,0,30,30,4
13.0,38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20,0,0,0,0,0,1,0,20,3,5
38.0,38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39,0,0,0,0,1,0,0,39,12,5
38.0,27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13,0,0,0,1,0,0,0,13,15,5
27.0,37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24,0,0,0,0,0,0,1,24,18,5
37.0,6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21,0,0,1,0,0,0,0,21,21,5
6.0,39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40,0,0,0,0,0,1,0,40,24,5
39.0,26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49,1,0,0,0,0,0,0,49,27,5
26.0,28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43,0,1,0,0,0,0,0,43,30,5
28.0,30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40,0,0,0,0,1,0,0,40,2,6
30.0,41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15,0,0,0,1,0,0,0,15,5,6
41.0,45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19,0,0,0,0,0,0,1,19,8,6
45.0,30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50,0,0,1,0,0,0,0,50,11,6
30.0,23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28,0,0,0,0,0,1,0,28,14,6
23.0,28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19,1,0,0,0,0,0,0,19,17,6
28.0,41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34,0,1,0,0,0,0,0,34,20,6
41.0,16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51,0,0,0,0,1,0,0,51,23,6
16.0,28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41,0,0,0,1,0,0,0,41,26,6
28.0,15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30,0,0,0,0,0,0,1,30,29,6
15.0,26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47,0,0,1,0,0,0,0,47,2,7
26.0,11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29,0,0,0,0,0,1,0,29,5,7
11.0,17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24,1,0,0,0,0,0,0,24,8,7
17.0,20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33,0,1,0,0,0,0,0,33,11,7
20.0,38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33.0,32,0,0,0,0,1,0,0,32,14,7
38.0,40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33.0,32.0,38,0,0,0,1,0,0,0,38,17,7
40.0,38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33.0,32.0,38.0,38,0,0,0,0,0,0,1,38,20,7
38.0,35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33.0,32.0,38.0,38.0,38,0,0,1,0,0,0,0,38,23,7
35.0,30.0,20.0,39.0,13.0,24.0,21.0,40.0,49.0,43.0,40.0,15.0,19.0,50.0,28.0,19.0,34.0,51.0,41.0,30.0,47.0,29.0,24.0,33.0,32.0,38.0,38.0,38.0,38,0,0,0,0,0,1,0,38,26,7
