lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
34.0,36.0,31.0,35.0,38.0,40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39,0,0,1,0,0,0,0,39,30,1
36.0,31.0,35.0,38.0,40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47,0,0,0,1,0,0,0,47,31,1
31.0,35.0,38.0,40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40,0,1,0,0,0,0,0,40,1,2
35.0,38.0,40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31,0,0,0,0,0,1,0,31,2,2
38.0,40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32,0,0,0,0,0,0,1,32,3,2
40.0,41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32.0,31,0,0,0,0,1,0,0,31,4,2
41.0,31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32.0,31.0,36,1,0,0,0,0,0,0,36,5,2
31.0,28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32.0,31.0,36.0,44,0,0,0,1,0,0,0,44,7,2
28.0,33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32.0,31.0,36.0,44.0,42,0,1,0,0,0,0,0,42,8,2
33.0,35.0,35.0,43.0,41.0,31.0,29.0,32.0,30.0,37.0,35.0,31.0,34.0,42.0,43.0,38.0,31.0,36.0,34.0,39.0,47.0,40.0,31.0,32.0,31.0,36.0,44.0,42.0,24,0,0,0,0,0,1,0,24,9,2
