lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
15.0,25.0,10.0,11.0,12.0,9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39,0,0,0,0,1,0,0,39,11,2
25.0,10.0,11.0,12.0,9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40,1,0,0,0,0,0,0,40,12,2
10.0,11.0,12.0,9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16,0,0,1,0,0,0,0,16,13,2
11.0,12.0,9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6,0,0,0,1,0,0,0,6,14,2
12.0,9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6,0,1,0,0,0,0,0,6,15,2
9.0,13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6.0,10,0,0,0,0,0,1,0,10,16,2
13.0,5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6.0,10.0,8,0,0,0,0,0,0,1,8,17,2
5.0,12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6.0,10.0,8.0,9,0,0,0,0,1,0,0,9,18,2
12.0,15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6.0,10.0,8.0,9.0,6,1,0,0,0,0,0,0,6,19,2
15.0,16.0,19.0,14.0,17.0,13.0,12.0,7.0,14.0,21.0,25.0,23.0,21.0,10.0,18.0,19.0,20.0,25.0,33.0,39.0,40.0,16.0,6.0,6.0,10.0,8.0,9.0,6.0,7,0,0,1,0,0,0,0,7,20,2
