lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
67.0,56.0,56.0,52.0,46.0,58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39,0,0,1,0,0,0,0,39,30,1
56.0,56.0,52.0,46.0,58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39,0,0,0,1,0,0,0,39,31,1
56.0,52.0,46.0,58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35,0,1,0,0,0,0,0,35,1,2
52.0,46.0,58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31,0,0,0,0,0,1,0,31,2,2
46.0,58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44,0,0,0,0,0,0,1,44,3,2
58.0,54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41,0,0,0,0,1,0,0,41,4,2
54.0,58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42,1,0,0,0,0,0,0,42,5,2
58.0,55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40,0,0,1,0,0,0,0,40,6,2
55.0,52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51,0,0,0,1,0,0,0,51,7,2
52.0,59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64,0,1,0,0,0,0,0,64,8,2
59.0,36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55,0,0,0,0,0,1,0,55,9,2
36.0,56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56,0,0,0,0,0,0,1,56,10,2
56.0,60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45,0,0,0,0,1,0,0,45,11,2
60.0,56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41,1,0,0,0,0,0,0,41,12,2
56.0,46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41,0,0,1,0,0,0,0,41,13,2
46.0,41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35,0,0,0,1,0,0,0,35,14,2
41.0,44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43,0,1,0,0,0,0,0,43,15,2
44.0,53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43,0,0,0,0,0,1,0,43,16,2
53.0,58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43.0,44,0,0,0,0,0,0,1,44,17,2
58.0,39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43.0,44.0,44,0,0,0,0,1,0,0,44,18,2
39.0,40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43.0,44.0,44.0,43,1,0,0,0,0,0,0,43,19,2
40.0,45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43.0,44.0,44.0,43.0,38,0,0,1,0,0,0,0,38,20,2
45.0,39.0,41.0,46.0,43.0,39.0,39.0,39.0,35.0,31.0,44.0,41.0,42.0,40.0,51.0,64.0,55.0,56.0,45.0,41.0,41.0,35.0,43.0,43.0,44.0,44.0,43.0,38.0,41,0,0,0,1,0,0,0,41,21,2
