lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
88.0,72.0,81.0,70.0,117.0,102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10,0,0,1,0,0,0,0,10,30,1
72.0,81.0,70.0,117.0,102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26,0,0,0,1,0,0,0,26,31,1
81.0,70.0,117.0,102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25,0,1,0,0,0,0,0,25,1,2
70.0,117.0,102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58,0,0,0,0,0,1,0,58,2,2
117.0,102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60,0,0,0,0,0,0,1,60,3,2
102.0,90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60.0,14,0,0,0,0,1,0,0,14,4,2
90.0,82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60.0,14.0,38,1,0,0,0,0,0,0,38,5,2
82.0,96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60.0,14.0,38.0,38,0,0,1,0,0,0,0,38,6,2
96.0,83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60.0,14.0,38.0,38.0,65,0,0,0,1,0,0,0,65,7,2
83.0,56.0,32.0,50.0,91.0,26.0,30.0,55.0,55.0,54.0,34.0,19.0,22.0,28.0,45.0,57.0,36.0,18.0,26.0,10.0,26.0,25.0,58.0,60.0,14.0,38.0,38.0,65.0,73,0,1,0,0,0,0,0,73,8,2
