lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
52.0,36.0,49.0,47.0,40.0,57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15,0,0,1,0,0,0,0,15,30,1
36.0,49.0,47.0,40.0,57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19,0,0,0,1,0,0,0,19,31,1
49.0,47.0,40.0,57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17,0,1,0,0,0,0,0,17,1,2
47.0,40.0,57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30,0,0,0,0,0,1,0,30,2,2
40.0,57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19,0,0,0,0,0,0,1,19,3,2
57.0,53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15,0,0,0,0,1,0,0,15,4,2
53.0,40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10,1,0,0,0,0,0,0,10,5,2
40.0,45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15,0,0,1,0,0,0,0,15,6,2
45.0,34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30,0,0,0,1,0,0,0,30,7,2
34.0,20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33,0,1,0,0,0,0,0,33,8,2
20.0,18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2,0,0,0,0,0,1,0,2,9,2
18.0,28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26,0,0,0,0,0,0,1,26,10,2
28.0,31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24,0,0,0,0,1,0,0,24,11,2
31.0,15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11,1,0,0,0,0,0,0,11,12,2
15.0,11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8,0,0,1,0,0,0,0,8,13,2
11.0,10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8,0,0,0,1,0,0,0,8,14,2
10.0,17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13,0,1,0,0,0,0,0,13,15,2
17.0,18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9,0,0,0,0,0,1,0,9,16,2
18.0,8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13,0,0,0,0,0,0,1,13,17,2
8.0,10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13.0,8,0,0,0,0,1,0,0,8,18,2
10.0,16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13.0,8.0,10,1,0,0,0,0,0,0,10,19,2
16.0,16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13.0,8.0,10.0,19,0,0,1,0,0,0,0,19,20,2
16.0,21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13.0,8.0,10.0,19.0,22,0,0,0,1,0,0,0,22,21,2
21.0,17.0,8.0,15.0,18.0,15.0,19.0,17.0,30.0,19.0,15.0,10.0,15.0,30.0,33.0,2.0,26.0,24.0,11.0,8.0,8.0,13.0,9.0,13.0,8.0,10.0,19.0,22.0,18,0,1,0,0,0,0,0,18,22,2
