lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
45.0,32.0,19.0,39.0,60.0,70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53,0,0,1,0,0,0,0,53,30,1
32.0,19.0,39.0,60.0,70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60,0,0,0,1,0,0,0,60,31,1
19.0,39.0,60.0,70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46,0,1,0,0,0,0,0,46,1,2
39.0,60.0,70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48,0,0,0,0,0,1,0,48,2,2
60.0,70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36,0,0,0,0,0,0,1,36,3,2
70.0,78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24,0,0,0,0,1,0,0,24,4,2
78.0,64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28,1,0,0,0,0,0,0,28,5,2
64.0,25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55,0,0,1,0,0,0,0,55,6,2
25.0,22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59,0,0,0,1,0,0,0,59,7,2
22.0,27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63,0,1,0,0,0,0,0,63,8,2
27.0,54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45,0,0,0,0,0,1,0,45,9,2
54.0,57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26,0,0,0,0,0,0,1,26,10,2
57.0,65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31,0,0,0,0,1,0,0,31,11,2
65.0,35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53,1,0,0,0,0,0,0,53,12,2
35.0,25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22,0,0,1,0,0,0,0,22,13,2
25.0,16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35,0,0,0,1,0,0,0,35,14,2
16.0,44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51,0,1,0,0,0,0,0,51,15,2
44.0,52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43,0,0,0,0,0,1,0,43,16,2
52.0,64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57,0,0,0,0,0,0,1,57,17,2
64.0,59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36,0,0,0,0,1,0,0,36,18,2
59.0,15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36.0,41,1,0,0,0,0,0,0,41,19,2
15.0,63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36.0,41.0,46,0,0,1,0,0,0,0,46,20,2
63.0,76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36.0,41.0,46.0,70,0,0,0,1,0,0,0,70,21,2
76.0,35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36.0,41.0,46.0,70.0,55,0,1,0,0,0,0,0,55,22,2
35.0,39.0,58.0,30.0,53.0,60.0,46.0,48.0,36.0,24.0,28.0,55.0,59.0,63.0,45.0,26.0,31.0,53.0,22.0,35.0,51.0,43.0,57.0,36.0,41.0,46.0,70.0,55.0,53,0,0,0,0,0,1,0,53,23,2
