County,State,state_county,County Code
baldwin,alabama,alabama_baldwin,1003
colbert,alabama,alabama_colbert,1033
dekalb,alabama,alabama_dekalb,1049
elmore,alabama,alabama_elmore,1051
etowah,alabama,alabama_etowah,1055
houston,alabama,alabama_houston,1069
jefferson,alabama,alabama_jefferson,1073
madison,alabama,alabama_madison,1089
mobile,alabama,alabama_mobile,1097
montgomery,alabama,alabama_montgomery,1101
morgan,alabama,alabama_morgan,1103
russell,alabama,alabama_russell,1113
shelby,alabama,alabama_shelby,1117
talladega,alabama,alabama_talladega,1121
tuscaloosa,alabama,alabama_tuscaloosa,1125
apache,arizona,arizona_apache,4001
cochise,arizona,arizona_cochise,4003
coconino,arizona,arizona_coconino,4005
gila,arizona,arizona_gila,4007
maricopa,arizona,arizona_maricopa,4013
mohave,arizona,arizona_mohave,4015
navajo,arizona,arizona_navajo,4017
pima,arizona,arizona_pima,4019
pinal,arizona,arizona_pinal,4021
yavapai,arizona,arizona_yavapai,4025
yuma,arizona,arizona_yuma,4027
arkansas,arkansas,arkansas_arkansas,5001
crittenden,arkansas,arkansas_crittenden,5035
garland,arkansas,arkansas_garland,5051
polk,arkansas,arkansas_polk,5113
pulaski,arkansas,arkansas_pulaski,5119
union,arkansas,arkansas_union,5139
washington,arkansas,arkansas_washington,5143
alameda,california,california_alameda,6001
amador,california,california_amador,6005
butte,california,california_butte,6007
calaveras,california,california_calaveras,6009
contra_costa,california,california_contra_costa,6013
el_dorado,california,california_el_dorado,6017
fresno,california,california_fresno,6019
glenn,california,california_glenn,6021
humboldt,california,california_humboldt,6023
imperial,california,california_imperial,6025
kern,california,california_kern,6029
kings,california,california_kings,6031
lake,california,california_lake,6033
los_angeles,california,california_los_angeles,6037
madera,california,california_madera,6039
marin,california,california_marin,6041
mendocino,california,california_mendocino,6045
merced,california,california_merced,6047
monterey,california,california_monterey,6053
napa,california,california_napa,6055
nevada,california,california_nevada,6057
orange,california,california_orange,6059
placer,california,california_placer,6061
riverside,california,california_riverside,6065
sacramento,california,california_sacramento,6067
san_benito,california,california_san_benito,6069
san_bernardino,california,california_san_bernardino,6071
san_diego,california,california_san_diego,6073
san_francisco,california,california_san_francisco,6075
san_joaquin,california,california_san_joaquin,6077
san_luis_obispo,california,california_san_luis_obispo,6079
san_mateo,california,california_san_mateo,6081
santa_barbara,california,california_santa_barbara,6083
santa_clara,california,california_santa_clara,6085
santa_cruz,california,california_santa_cruz,6087
shasta,california,california_shasta,6089
siskiyou,california,california_siskiyou,6093
solano,california,california_solano,6095
sonoma,california,california_sonoma,6097
stanislaus,california,california_stanislaus,6099
sutter,california,california_sutter,6101
tehama,california,california_tehama,6103
tulare,california,california_tulare,6107
tuolumne,california,california_tuolumne,6109
ventura,california,california_ventura,6111
yolo,california,california_yolo,6113
adams,colorado,colorado_adams,8001
arapahoe,colorado,colorado_arapahoe,8005
boulder,colorado,colorado_boulder,8013
delta,colorado,colorado_delta,8029
denver,colorado,colorado_denver,8031
douglas,colorado,colorado_douglas,8035
el_paso,colorado,colorado_el_paso,8041
fremont,colorado,colorado_fremont,8043
jefferson,colorado,colorado_jefferson,8059
larimer,colorado,colorado_larimer,8069
mesa,colorado,colorado_mesa,8077
