lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
34.0,30.0,28.0,28.0,29.0,20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40,0,0,0,1,0,0,0,40,31,1
30.0,28.0,28.0,29.0,20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32,0,1,0,0,0,0,0,32,1,2
28.0,28.0,29.0,20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38,0,0,0,0,0,0,1,38,3,2
28.0,29.0,20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33,0,0,0,0,1,0,0,33,4,2
29.0,20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39,1,0,0,0,0,0,0,39,5,2
20.0,27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37,0,0,1,0,0,0,0,37,6,2
27.0,29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43,0,0,0,1,0,0,0,43,7,2
29.0,29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35,0,1,0,0,0,0,0,35,8,2
29.0,33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30,0,0,0,0,0,1,0,30,9,2
33.0,35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34,0,0,0,0,0,0,1,34,10,2
35.0,39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41,0,0,0,0,1,0,0,41,11,2
39.0,31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44,1,0,0,0,0,0,0,44,12,2
31.0,31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36,0,0,1,0,0,0,0,36,13,2
31.0,31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38,0,0,0,1,0,0,0,38,14,2
31.0,31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45,0,1,0,0,0,0,0,45,15,2
31.0,33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32,0,0,0,0,0,1,0,32,16,2
33.0,22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31,0,0,0,0,0,0,1,31,17,2
22.0,26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35,0,0,0,0,1,0,0,35,18,2
26.0,27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37,0,0,1,0,0,0,0,37,20,2
27.0,32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33,0,0,0,1,0,0,0,33,21,2
32.0,36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31,0,1,0,0,0,0,0,31,22,2
36.0,38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34,0,0,0,0,0,1,0,34,23,2
38.0,31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36,0,0,0,0,0,0,1,36,24,2
31.0,25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33,0,0,0,0,1,0,0,33,25,2
25.0,34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36,1,0,0,0,0,0,0,36,26,2
34.0,35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43,0,0,1,0,0,0,0,43,27,2
35.0,45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40,0,0,0,0,0,1,0,40,1,3
45.0,40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35,0,0,0,0,0,0,1,35,2,3
40.0,32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27,0,0,0,0,1,0,0,27,3,3
32.0,38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36,1,0,0,0,0,0,0,36,4,3
38.0,33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39,0,0,1,0,0,0,0,39,5,3
33.0,39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39,0,0,0,1,0,0,0,39,6,3
39.0,37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47,0,1,0,0,0,0,0,47,7,3
37.0,43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48,0,0,0,0,0,1,0,48,8,3
43.0,35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25,0,0,0,0,1,0,0,25,10,3
35.0,30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30,1,0,0,0,0,0,0,30,11,3
30.0,34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30,0,0,1,0,0,0,0,30,12,3
34.0,41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41,0,0,0,1,0,0,0,41,13,3
41.0,44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42,0,1,0,0,0,0,0,42,14,3
44.0,36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54,0,0,0,0,0,1,0,54,15,3
36.0,38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47,0,0,0,0,0,0,1,47,16,3
38.0,45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47,0,0,0,0,1,0,0,47,17,3
45.0,32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50,1,0,0,0,0,0,0,50,18,3
32.0,31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52,0,0,1,0,0,0,0,52,19,3
31.0,35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36,0,0,0,1,0,0,0,36,20,3
35.0,37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40,0,1,0,0,0,0,0,40,21,3
37.0,33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46,0,0,0,0,0,1,0,46,22,3
33.0,31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46,0,0,0,0,0,0,1,46,23,3
31.0,34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40,0,0,0,0,1,0,0,40,24,3
34.0,36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42,1,0,0,0,0,0,0,42,25,3
36.0,33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28,0,0,0,1,0,0,0,28,27,3
33.0,36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38,0,1,0,0,0,0,0,38,28,3
36.0,43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46,0,0,0,0,0,1,0,46,29,3
43.0,40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50,0,0,0,0,0,0,1,50,30,3
40.0,35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40,0,0,0,0,1,0,0,40,31,3
35.0,27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34,1,0,0,0,0,0,0,34,1,4
27.0,36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41,0,0,1,0,0,0,0,41,2,4
36.0,39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41.0,42,0,0,0,1,0,0,0,42,3,4
39.0,39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41.0,42.0,48,0,1,0,0,0,0,0,48,4,4
39.0,47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41.0,42.0,48.0,42,0,0,0,0,0,1,0,42,5,4
47.0,48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41.0,42.0,48.0,42.0,44,0,0,0,0,0,0,1,44,6,4
48.0,25.0,30.0,30.0,41.0,42.0,54.0,47.0,47.0,50.0,52.0,36.0,40.0,46.0,46.0,40.0,42.0,28.0,38.0,46.0,50.0,40.0,34.0,41.0,42.0,48.0,42.0,44.0,39,0,0,0,0,1,0,0,39,7,4
