lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
19.0,18.0,8.0,12.0,21.0,22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9,0,0,0,1,0,0,0,9,3,4
18.0,8.0,12.0,21.0,22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30,0,0,0,0,0,0,1,30,6,4
8.0,12.0,21.0,22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13,0,0,1,0,0,0,0,13,9,4
12.0,21.0,22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13,0,0,0,0,0,1,0,13,12,4
21.0,22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20,1,0,0,0,0,0,0,20,15,4
22.0,18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20.0,36,0,1,0,0,0,0,0,36,18,4
18.0,18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20.0,36.0,22,0,0,0,0,1,0,0,22,21,4
18.0,18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20.0,36.0,22.0,24,0,0,0,1,0,0,0,24,24,4
18.0,14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20.0,36.0,22.0,24.0,28,0,0,0,0,0,0,1,28,27,4
14.0,12.0,11.0,10.0,30.0,26.0,21.0,37.0,11.0,17.0,23.0,20.0,17.0,16.0,22.0,46.0,24.0,17.0,30.0,9.0,30.0,13.0,13.0,20.0,36.0,22.0,24.0,28.0,31,0,0,1,0,0,0,0,31,30,4
