lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,34.0,31.0,28.0,40.0,42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44,0,0,1,0,0,0,0,44,30,1
34.0,31.0,28.0,40.0,42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39,0,0,0,1,0,0,0,39,31,1
31.0,28.0,40.0,42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39,0,1,0,0,0,0,0,39,1,2
28.0,40.0,42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38,0,0,0,0,0,1,0,38,2,2
40.0,42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39,0,0,0,0,0,0,1,39,3,2
42.0,36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37,0,0,0,0,1,0,0,37,4,2
36.0,34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41,1,0,0,0,0,0,0,41,5,2
34.0,35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40,0,0,1,0,0,0,0,40,6,2
35.0,36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39,0,0,0,1,0,0,0,39,7,2
36.0,31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39.0,41,0,1,0,0,0,0,0,41,8,2
31.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39.0,41.0,40,0,0,0,0,0,1,0,40,9,2
1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39.0,41.0,40.0,39,0,0,0,0,0,0,1,39,10,2
2.0,4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39.0,41.0,40.0,39.0,41,0,0,0,0,1,0,0,41,11,2
4.0,1.0,2.0,3.0,4.0,3.0,36.0,35.0,38.0,42.0,40.0,40.0,39.0,37.0,38.0,44.0,39.0,39.0,38.0,39.0,37.0,41.0,40.0,39.0,41.0,40.0,39.0,41.0,42,1,0,0,0,0,0,0,42,12,2
