lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,29.0,52.0,34.0,28.0,27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35,0,0,1,0,0,0,0,35,30,1
29.0,52.0,34.0,28.0,27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36,0,0,0,1,0,0,0,36,31,1
52.0,34.0,28.0,27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35,0,1,0,0,0,0,0,35,1,2
34.0,28.0,27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30,0,0,0,0,0,1,0,30,2,2
28.0,27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44,0,0,0,0,0,0,1,44,3,2
27.0,22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31,0,0,0,0,1,0,0,31,4,2
22.0,48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33,1,0,0,0,0,0,0,33,5,2
48.0,27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28,0,0,1,0,0,0,0,28,6,2
27.0,15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31,0,0,0,1,0,0,0,31,7,2
15.0,36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31,0,1,0,0,0,0,0,31,8,2
36.0,43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29,0,0,0,0,0,1,0,29,9,2
43.0,26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27,0,0,0,0,0,0,1,27,10,2
26.0,30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32,0,0,0,0,1,0,0,32,11,2
30.0,28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42,1,0,0,0,0,0,0,42,12,2
28.0,33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32,0,0,1,0,0,0,0,32,13,2
33.0,31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32.0,27,0,0,0,1,0,0,0,27,14,2
31.0,31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32.0,27.0,22,0,1,0,0,0,0,0,22,15,2
31.0,24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32.0,27.0,22.0,32,0,0,0,0,0,1,0,32,16,2
24.0,31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32.0,27.0,22.0,32.0,38,0,0,0,0,0,0,1,38,17,2
31.0,39.0,38.0,27.0,32.0,28.0,31.0,54.0,46.0,35.0,36.0,35.0,30.0,44.0,31.0,33.0,28.0,31.0,31.0,29.0,27.0,32.0,42.0,32.0,27.0,22.0,32.0,38.0,39,0,0,0,0,1,0,0,39,18,2
