lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
64.0,69.0,68.0,38.0,33.0,37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34,0,0,1,0,0,0,0,34,30,1
69.0,68.0,38.0,33.0,37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36,0,0,0,1,0,0,0,36,31,1
68.0,38.0,33.0,37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34,0,1,0,0,0,0,0,34,1,2
38.0,33.0,37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39,0,0,0,0,0,1,0,39,2,2
33.0,37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48,0,0,0,0,0,0,1,48,3,2
37.0,63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35,0,0,0,0,1,0,0,35,4,2
63.0,58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56,1,0,0,0,0,0,0,56,5,2
58.0,54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59,0,0,1,0,0,0,0,59,6,2
54.0,48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62,0,0,0,1,0,0,0,62,7,2
48.0,65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68,0,1,0,0,0,0,0,68,8,2
65.0,54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54,0,0,0,0,0,1,0,54,9,2
54.0,31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60,0,0,0,0,0,0,1,60,10,2
31.0,39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72,0,0,0,0,1,0,0,72,11,2
39.0,35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72,1,0,0,0,0,0,0,72,12,2
35.0,33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61,0,0,1,0,0,0,0,61,13,2
33.0,32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54,0,0,0,1,0,0,0,54,14,2
32.0,31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55,0,1,0,0,0,0,0,55,15,2
31.0,27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74,0,0,0,0,0,1,0,74,16,2
27.0,42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69,0,0,0,0,0,0,1,69,17,2
42.0,34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38,0,0,0,0,1,0,0,38,18,2
34.0,35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36,1,0,0,0,0,0,0,36,19,2
35.0,27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35,0,0,1,0,0,0,0,35,20,2
27.0,41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67,0,0,0,1,0,0,0,67,21,2
41.0,40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40,0,1,0,0,0,0,0,40,22,2
40.0,50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54,0,0,0,0,0,1,0,54,23,2
50.0,67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95,0,0,0,0,0,0,1,95,24,2
67.0,75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67,0,0,0,0,1,0,0,67,25,2
75.0,34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62,1,0,0,0,0,0,0,62,26,2
34.0,36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32,0,0,1,0,0,0,0,32,27,2
36.0,34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52,0,0,0,1,0,0,0,52,28,2
34.0,39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35,0,1,0,0,0,0,0,35,29,2
39.0,48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43,0,0,0,0,0,1,0,43,1,3
48.0,35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36,0,0,0,0,0,0,1,36,2,3
35.0,56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37,0,0,0,0,1,0,0,37,3,3
56.0,59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45,1,0,0,0,0,0,0,45,4,3
59.0,62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39,0,0,1,0,0,0,0,39,5,3
62.0,68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41,0,0,0,1,0,0,0,41,6,3
68.0,54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38,0,1,0,0,0,0,0,38,7,3
54.0,60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34,0,0,0,0,0,1,0,34,8,3
60.0,72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47,0,0,0,0,0,0,1,47,9,3
72.0,72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59,0,0,0,0,1,0,0,59,10,3
72.0,61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40,1,0,0,0,0,0,0,40,11,3
61.0,54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33,0,0,1,0,0,0,0,33,12,3
54.0,55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32,0,0,0,1,0,0,0,32,13,3
55.0,74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44,0,1,0,0,0,0,0,44,14,3
74.0,69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41,0,0,0,0,0,1,0,41,15,3
69.0,38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38,0,0,0,0,0,0,1,38,16,3
38.0,36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51,0,0,0,0,1,0,0,51,17,3
36.0,35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47,1,0,0,0,0,0,0,47,18,3
35.0,67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47.0,30,0,0,1,0,0,0,0,30,19,3
67.0,40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47.0,30.0,32,0,0,0,1,0,0,0,32,20,3
40.0,54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47.0,30.0,32.0,41,0,1,0,0,0,0,0,41,21,3
54.0,95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47.0,30.0,32.0,41.0,37,0,0,0,0,0,1,0,37,22,3
95.0,67.0,62.0,32.0,52.0,35.0,43.0,36.0,37.0,45.0,39.0,41.0,38.0,34.0,47.0,59.0,40.0,33.0,32.0,44.0,41.0,38.0,51.0,47.0,30.0,32.0,41.0,37.0,33,0,0,0,0,0,0,1,33,23,3
