lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
48.0,44.0,44.0,44.0,45.0,47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44,0,0,0,0,0,1,0,44,16,2
44.0,44.0,44.0,45.0,47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45,0,0,0,0,0,0,1,45,17,2
44.0,44.0,45.0,47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50,0,0,0,0,1,0,0,50,18,2
44.0,45.0,47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64,1,0,0,0,0,0,0,64,19,2
45.0,47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49,0,0,1,0,0,0,0,49,20,2
47.0,40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51,0,0,0,1,0,0,0,51,21,2
40.0,44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47,0,1,0,0,0,0,0,47,22,2
44.0,42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45,0,0,0,0,0,1,0,45,23,2
42.0,44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51,0,0,0,0,0,0,1,51,24,2
44.0,46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51,0,0,0,0,1,0,0,51,25,2
46.0,44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54,1,0,0,0,0,0,0,54,26,2
44.0,47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49,0,0,1,0,0,0,0,49,27,2
47.0,41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50,0,0,0,1,0,0,0,50,28,2
41.0,39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48,0,1,0,0,0,0,0,48,29,2
39.0,44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58,0,0,0,0,1,0,0,58,3,3
44.0,44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47,1,0,0,0,0,0,0,47,4,3
44.0,44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47.0,61,0,0,1,0,0,0,0,61,5,3
44.0,46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47.0,61.0,45,0,0,0,1,0,0,0,45,6,3
46.0,46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47.0,61.0,45.0,48,0,1,0,0,0,0,0,48,7,3
46.0,44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47.0,61.0,45.0,48.0,48,0,0,0,0,0,1,0,48,8,3
44.0,47.0,46.0,42.0,41.0,44.0,43.0,40.0,44.0,45.0,50.0,64.0,49.0,51.0,47.0,45.0,51.0,51.0,54.0,49.0,50.0,48.0,58.0,47.0,61.0,45.0,48.0,48.0,48,0,0,0,0,0,0,1,48,9,3
