lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
35.0,28.0,33.0,34.0,36.0,32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49,0,0,1,0,0,0,0,49,30,1
28.0,33.0,34.0,36.0,32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40,0,0,0,1,0,0,0,40,31,1
33.0,34.0,36.0,32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45,0,1,0,0,0,0,0,45,1,2
34.0,36.0,32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27,0,0,0,0,0,1,0,27,2,2
36.0,32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35,0,0,0,0,0,0,1,35,3,2
32.0,29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35.0,36,0,0,0,0,1,0,0,36,4,2
29.0,28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35.0,36.0,39,1,0,0,0,0,0,0,39,5,2
28.0,27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35.0,36.0,39.0,42,0,0,1,0,0,0,0,42,6,2
27.0,40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35.0,36.0,39.0,42.0,43,0,0,0,1,0,0,0,43,7,2
40.0,40.0,39.0,42.0,34.0,34.0,33.0,34.0,33.0,41.0,41.0,40.0,40.0,35.0,38.0,37.0,32.0,31.0,39.0,49.0,40.0,45.0,27.0,35.0,36.0,39.0,42.0,43.0,46,0,1,0,0,0,0,0,46,8,2
