lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
39.0,44.0,34.0,40.0,35.0,34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33,0,0,1,0,0,0,0,33,30,4
44.0,34.0,40.0,35.0,34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45,0,0,0,1,0,0,0,45,1,5
34.0,40.0,35.0,34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29,0,1,0,0,0,0,0,29,2,5
40.0,35.0,34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43,0,0,0,0,0,1,0,43,3,5
35.0,34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41,0,0,0,0,0,0,1,41,4,5
34.0,31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38,0,0,0,0,1,0,0,38,5,5
31.0,36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48,1,0,0,0,0,0,0,48,6,5
36.0,36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50,0,0,1,0,0,0,0,50,7,5
36.0,30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34,0,0,0,1,0,0,0,34,8,5
30.0,42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36,0,1,0,0,0,0,0,36,9,5
42.0,44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46,0,0,0,0,0,1,0,46,10,5
44.0,49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45,0,0,0,0,0,0,1,45,11,5
49.0,51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38,0,0,0,0,1,0,0,38,12,5
51.0,51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36,1,0,0,0,0,0,0,36,13,5
51.0,74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36,0,0,1,0,0,0,0,36,14,5
74.0,58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44,0,0,0,1,0,0,0,44,15,5
58.0,61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40,0,1,0,0,0,0,0,40,16,5
61.0,47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34,0,0,0,0,0,1,0,34,17,5
47.0,40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44,0,0,0,0,0,0,1,44,18,5
40.0,44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58,0,0,0,0,1,0,0,58,19,5
44.0,34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36,1,0,0,0,0,0,0,36,20,5
34.0,51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58,0,0,1,0,0,0,0,58,21,5
51.0,58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67,0,0,0,1,0,0,0,67,22,5
58.0,39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74,0,1,0,0,0,0,0,74,23,5
39.0,31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80,0,0,0,0,0,1,0,80,24,5
31.0,41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44,0,0,0,0,0,0,1,44,25,5
41.0,33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39,0,0,0,0,1,0,0,39,26,5
33.0,33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37,1,0,0,0,0,0,0,37,27,5
33.0,45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44,0,0,1,0,0,0,0,44,28,5
45.0,29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48,0,0,0,1,0,0,0,48,29,5
29.0,43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48.0,58,0,1,0,0,0,0,0,58,30,5
43.0,41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48.0,58.0,67,0,0,0,0,0,1,0,67,31,5
41.0,38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48.0,58.0,67.0,51,0,0,0,0,0,0,1,51,1,6
38.0,48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48.0,58.0,67.0,51.0,48,0,0,0,0,1,0,0,48,2,6
48.0,50.0,34.0,36.0,46.0,45.0,38.0,36.0,36.0,44.0,40.0,34.0,44.0,58.0,36.0,58.0,67.0,74.0,80.0,44.0,39.0,37.0,44.0,48.0,58.0,67.0,51.0,48.0,51,1,0,0,0,0,0,0,51,3,6
