lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
21.0,3.0,3.0,3.0,21.0,6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34,0,0,1,0,0,0,0,34,30,1
3.0,3.0,3.0,21.0,6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24,0,0,0,1,0,0,0,24,31,1
3.0,3.0,21.0,6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3,0,1,0,0,0,0,0,3,1,2
3.0,21.0,6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6,0,0,0,0,0,1,0,6,2,2
21.0,6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14,0,0,0,0,0,0,1,14,3,2
6.0,4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3,0,0,0,0,1,0,0,3,4,2
4.0,0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16,1,0,0,0,0,0,0,16,5,2
0.0,1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11,0,0,1,0,0,0,0,11,6,2
1.0,10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13,0,0,0,1,0,0,0,13,7,2
10.0,7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3,0,1,0,0,0,0,0,3,8,2
7.0,11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13,0,0,0,0,0,1,0,13,9,2
11.0,19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21,0,0,0,0,0,0,1,21,10,2
19.0,6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21.0,21,0,0,0,0,1,0,0,21,11,2
6.0,6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21.0,21.0,23,1,0,0,0,0,0,0,23,12,2
6.0,13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21.0,21.0,23.0,11,0,0,1,0,0,0,0,11,13,2
13.0,7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21.0,21.0,23.0,11.0,20,0,0,0,1,0,0,0,20,14,2
7.0,9.0,16.0,9.0,26.0,6.0,21.0,9.0,14.0,6.0,14.0,7.0,34.0,24.0,3.0,6.0,14.0,3.0,16.0,11.0,13.0,3.0,13.0,21.0,21.0,23.0,11.0,20.0,23,0,1,0,0,0,0,0,23,15,2
