lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,29.0,48.0,24.0,20.0,20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29,0,0,1,0,0,0,0,29,30,1
29.0,48.0,24.0,20.0,20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31,0,0,0,1,0,0,0,31,31,1
48.0,24.0,20.0,20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27,0,1,0,0,0,0,0,27,1,2
24.0,20.0,20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25,0,0,0,0,0,1,0,25,2,2
20.0,20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26,0,0,0,0,0,0,1,26,3,2
20.0,17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28,0,0,0,0,1,0,0,28,4,2
17.0,27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26,1,0,0,0,0,0,0,26,5,2
27.0,27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27,0,0,1,0,0,0,0,27,6,2
27.0,26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27.0,30,0,0,0,1,0,0,0,30,7,2
26.0,30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27.0,30.0,29,0,1,0,0,0,0,0,29,8,2
30.0,29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27.0,30.0,29.0,27,0,0,0,0,0,1,0,27,9,2
29.0,28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27.0,30.0,29.0,27.0,27,0,0,0,0,0,0,1,27,10,2
28.0,29.0,29.0,26.0,29.0,32.0,16.0,25.0,55.0,25.0,31.0,32.0,32.0,26.0,30.0,37.0,29.0,31.0,27.0,25.0,26.0,28.0,26.0,27.0,30.0,29.0,27.0,27.0,21,0,0,0,0,1,0,0,21,11,2
