lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,34.0,28.0,43.0,24.0,23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49,0,0,0,0,1,0,0,49,31,3
34.0,28.0,43.0,24.0,23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23,0,0,0,1,0,0,0,23,3,4
28.0,43.0,24.0,23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30,0,0,0,0,0,0,1,30,6,4
43.0,24.0,23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30,0,0,1,0,0,0,0,30,9,4
24.0,23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19,0,0,0,0,0,1,0,19,12,4
23.0,20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29,1,0,0,0,0,0,0,29,15,4
20.0,23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29,0,1,0,0,0,0,0,29,18,4
23.0,13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18,0,0,0,0,1,0,0,18,21,4
13.0,22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28,0,0,0,1,0,0,0,28,24,4
22.0,38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33,0,0,0,0,0,0,1,33,27,4
38.0,13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30,0,0,1,0,0,0,0,30,30,4
13.0,22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35,0,0,0,0,0,1,0,35,3,5
22.0,29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29,1,0,0,0,0,0,0,29,6,5
29.0,25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28,0,1,0,0,0,0,0,28,9,5
25.0,27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31,0,0,0,0,1,0,0,31,12,5
27.0,9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46,0,0,0,1,0,0,0,46,15,5
9.0,36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28,0,0,0,0,0,0,1,28,18,5
36.0,23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38,0,0,1,0,0,0,0,38,21,5
23.0,30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25,0,0,0,0,0,1,0,25,24,5
30.0,29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30,1,0,0,0,0,0,0,30,27,5
29.0,52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28,0,1,0,0,0,0,0,28,30,5
52.0,17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23,0,0,0,0,1,0,0,23,2,6
17.0,30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10,0,0,0,1,0,0,0,10,5,6
30.0,20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39,0,0,0,0,0,0,1,39,8,6
20.0,20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19,0,0,1,0,0,0,0,19,11,6
20.0,41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54,0,0,0,0,0,1,0,54,14,6
41.0,35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39,1,0,0,0,0,0,0,39,17,6
35.0,49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24,0,1,0,0,0,0,0,24,20,6
49.0,23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27,0,0,0,0,1,0,0,27,23,6
23.0,30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47,0,0,0,1,0,0,0,47,26,6
30.0,30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28,0,0,0,0,0,0,1,28,29,6
30.0,19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45,0,0,1,0,0,0,0,45,2,7
19.0,29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38,0,0,0,0,0,1,0,38,5,7
29.0,29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46,1,0,0,0,0,0,0,46,8,7
29.0,18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35,0,1,0,0,0,0,0,35,11,7
18.0,28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20,0,0,0,0,1,0,0,20,14,7
28.0,33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23,0,0,0,1,0,0,0,23,17,7
33.0,30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23.0,30,1,0,0,0,0,0,0,30,22,7
30.0,35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23.0,30.0,27,0,0,1,0,0,0,0,27,23,7
35.0,29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23.0,30.0,27.0,30,0,0,0,0,0,1,0,30,26,7
29.0,28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23.0,30.0,27.0,30.0,28,1,0,0,0,0,0,0,28,29,7
28.0,31.0,46.0,28.0,38.0,25.0,30.0,28.0,23.0,10.0,39.0,19.0,54.0,39.0,24.0,27.0,47.0,28.0,45.0,38.0,46.0,35.0,20.0,23.0,30.0,27.0,30.0,28.0,22,0,1,0,0,0,0,0,22,1,8
