lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
53.0,60.0,21.0,32.0,74.0,66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24,0,0,1,0,0,0,0,24,30,1
60.0,21.0,32.0,74.0,66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36,0,0,0,1,0,0,0,36,31,1
21.0,32.0,74.0,66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45,0,1,0,0,0,0,0,45,1,2
32.0,74.0,66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30,0,0,0,0,0,1,0,30,2,2
74.0,66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10,0,0,0,0,0,0,1,10,3,2
66.0,70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11,0,0,0,0,1,0,0,11,4,2
70.0,45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19,1,0,0,0,0,0,0,19,5,2
45.0,4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35,0,0,1,0,0,0,0,35,6,2
4.0,28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61,0,0,0,1,0,0,0,61,7,2
28.0,35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44,0,1,0,0,0,0,0,44,8,2
35.0,34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16,0,0,0,0,0,1,0,16,9,2
34.0,40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27,0,0,0,0,0,0,1,27,10,2
40.0,65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28,0,0,0,0,1,0,0,28,11,2
65.0,38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37,1,0,0,0,0,0,0,37,12,2
38.0,37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22,0,0,1,0,0,0,0,22,13,2
37.0,28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18,0,0,0,1,0,0,0,18,14,2
28.0,32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35,0,1,0,0,0,0,0,35,15,2
32.0,47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35,0,0,0,0,0,1,0,35,16,2
47.0,55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49,0,0,0,0,0,0,1,49,17,2
55.0,40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30,0,0,0,0,1,0,0,30,18,2
40.0,13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35,1,0,0,0,0,0,0,35,19,2
13.0,41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36,0,0,1,0,0,0,0,36,20,2
41.0,87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66,0,0,0,1,0,0,0,66,21,2
87.0,68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33,0,1,0,0,0,0,0,33,22,2
68.0,38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19,0,0,0,0,0,1,0,19,23,2
38.0,57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5,0,0,0,0,0,0,1,5,24,2
57.0,48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6,0,0,0,0,1,0,0,6,25,2
48.0,24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15,1,0,0,0,0,0,0,15,26,2
24.0,36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27,0,0,1,0,0,0,0,27,27,2
36.0,45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41,0,0,0,1,0,0,0,41,28,2
45.0,30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29,0,1,0,0,0,0,0,29,29,2
30.0,10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24,0,0,0,0,0,1,0,24,1,3
10.0,11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26,0,0,0,0,0,0,1,26,2,3
11.0,19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26,0,0,0,0,1,0,0,26,3,3
19.0,35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54,1,0,0,0,0,0,0,54,4,3
35.0,61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54,0,0,1,0,0,0,0,54,5,3
61.0,44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81,0,0,0,1,0,0,0,81,6,3
44.0,16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63,0,1,0,0,0,0,0,63,7,3
16.0,27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44,0,0,0,0,0,1,0,44,8,3
27.0,28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55,0,0,0,0,0,0,1,55,9,3
28.0,37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52,0,0,0,0,1,0,0,52,10,3
37.0,22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23,1,0,0,0,0,0,0,23,11,3
22.0,18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27,0,0,1,0,0,0,0,27,12,3
18.0,35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45,0,0,0,1,0,0,0,45,13,3
35.0,35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5,0,1,0,0,0,0,0,5,14,3
35.0,49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30,0,0,0,0,0,1,0,30,15,3
49.0,30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47,0,0,0,0,0,0,1,47,16,3
30.0,35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35,0,0,0,0,1,0,0,35,17,3
35.0,36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17,1,0,0,0,0,0,0,17,18,3
36.0,66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17.0,28,0,0,1,0,0,0,0,28,19,3
66.0,33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17.0,28.0,28,0,0,0,1,0,0,0,28,20,3
33.0,19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17.0,28.0,28.0,36,0,1,0,0,0,0,0,36,21,3
19.0,5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17.0,28.0,28.0,36.0,30,0,0,0,0,0,1,0,30,22,3
5.0,6.0,15.0,27.0,41.0,29.0,24.0,26.0,26.0,54.0,54.0,81.0,63.0,44.0,55.0,52.0,23.0,27.0,45.0,5.0,30.0,47.0,35.0,17.0,28.0,28.0,36.0,30.0,50,0,0,0,0,0,0,1,50,23,3
