lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,36.0,28.0,33.0,48.0,62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33,0,0,1,0,0,0,0,33,30,1
36.0,28.0,33.0,48.0,62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40,0,0,0,1,0,0,0,40,31,1
28.0,33.0,48.0,62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38,0,1,0,0,0,0,0,38,1,2
33.0,48.0,62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41,0,0,0,0,0,1,0,41,2,2
48.0,62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38,0,0,0,0,0,0,1,38,3,2
62.0,51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38.0,36,0,0,0,0,1,0,0,36,4,2
51.0,43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38.0,36.0,33,1,0,0,0,0,0,0,33,5,2
43.0,36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38.0,36.0,33.0,45,0,0,1,0,0,0,0,45,6,2
36.0,33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38.0,36.0,33.0,45.0,61,0,0,0,1,0,0,0,61,7,2
33.0,45.0,35.0,50.0,71.0,31.0,31.0,35.0,37.0,36.0,37.0,39.0,39.0,41.0,39.0,53.0,31.0,39.0,40.0,33.0,40.0,38.0,41.0,38.0,36.0,33.0,45.0,61.0,36,0,1,0,0,0,0,0,36,8,2
