lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
6.0,2.0,33.0,64.0,46.0,10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34,0,1,0,0,0,0,0,34,4,4
2.0,33.0,64.0,46.0,10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39,0,0,0,0,0,1,0,39,5,4
33.0,64.0,46.0,10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32,0,0,0,0,0,0,1,32,6,4
64.0,46.0,10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35,0,0,0,0,1,0,0,35,7,4
46.0,10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36,1,0,0,0,0,0,0,36,8,4
10.0,48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36.0,34,0,0,1,0,0,0,0,34,9,4
48.0,6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36.0,34.0,34,0,0,0,1,0,0,0,34,10,4
6.0,10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36.0,34.0,34.0,33,0,1,0,0,0,0,0,33,11,4
10.0,52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36.0,34.0,34.0,33.0,32,0,0,0,0,0,1,0,32,12,4
52.0,22.0,9.0,21.0,27.0,9.0,27.0,43.0,8.0,32.0,1.0,7.0,45.0,10.0,13.0,12.0,35.0,33.0,32.0,34.0,39.0,32.0,35.0,36.0,34.0,34.0,33.0,32.0,39,0,0,0,0,0,0,1,39,13,4
