lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
21.0,25.0,25.0,21.0,25.0,16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28,0,0,1,0,0,0,0,28,30,1
25.0,25.0,21.0,25.0,16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23,0,0,0,1,0,0,0,23,31,1
25.0,21.0,25.0,16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6,0,1,0,0,0,0,0,6,1,2
21.0,25.0,16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13,0,0,0,0,0,1,0,13,2,2
25.0,16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13,0,0,0,0,0,0,1,13,3,2
16.0,20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22,0,0,0,0,1,0,0,22,4,2
20.0,23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39,1,0,0,0,0,0,0,39,5,2
23.0,13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25,0,0,1,0,0,0,0,25,6,2
13.0,29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5,0,0,0,1,0,0,0,5,7,2
29.0,15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7,0,1,0,0,0,0,0,7,8,2
15.0,20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7,0,0,0,0,0,1,0,7,9,2
20.0,25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13,0,0,0,0,0,0,1,13,10,2
25.0,38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26,0,0,0,0,1,0,0,26,11,2
38.0,20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34,1,0,0,0,0,0,0,34,12,2
20.0,17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18,0,0,1,0,0,0,0,18,13,2
17.0,23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18.0,31,0,0,0,1,0,0,0,31,14,2
23.0,18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18.0,31.0,27,0,1,0,0,0,0,0,27,15,2
18.0,40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18.0,31.0,27.0,23,0,0,0,0,0,1,0,23,16,2
40.0,55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18.0,31.0,27.0,23.0,29,0,0,0,0,0,0,1,29,17,2
55.0,69.0,64.0,46.0,37.0,22.0,18.0,9.0,23.0,28.0,23.0,6.0,13.0,13.0,22.0,39.0,25.0,5.0,7.0,7.0,13.0,26.0,34.0,18.0,31.0,27.0,23.0,29.0,54,0,0,0,0,1,0,0,54,18,2
