lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
13.0,16.0,18.0,14.0,25.0,13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11,0,1,0,0,0,0,0,11,28,3
16.0,18.0,14.0,25.0,13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40,1,0,0,0,0,0,0,40,1,4
18.0,14.0,25.0,13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44,0,0,1,0,0,0,0,44,2,4
14.0,25.0,13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61,0,0,0,1,0,0,0,61,3,4
25.0,13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44,0,1,0,0,0,0,0,44,4,4
13.0,45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45,0,0,0,0,0,1,0,45,5,4
45.0,29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37,0,0,0,0,0,0,1,37,6,4
29.0,10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44,0,0,0,0,1,0,0,44,7,4
10.0,24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41,1,0,0,0,0,0,0,41,8,4
24.0,8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41,0,0,1,0,0,0,0,41,9,4
8.0,41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41,0,0,0,1,0,0,0,41,10,4
41.0,6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41.0,34,0,1,0,0,0,0,0,34,11,4
6.0,39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41.0,34.0,42,0,0,0,0,0,1,0,42,12,4
39.0,27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41.0,34.0,42.0,42,0,0,0,0,0,0,1,42,13,4
27.0,18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41.0,34.0,42.0,42.0,47,0,0,0,0,1,0,0,47,14,4
18.0,23.0,19.0,39.0,21.0,28.0,38.0,8.0,10.0,7.0,12.0,28.0,14.0,11.0,40.0,44.0,61.0,44.0,45.0,37.0,44.0,41.0,41.0,41.0,34.0,42.0,42.0,47.0,33,1,0,0,0,0,0,0,33,15,4
