lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
8.0,18.0,6.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3,0,1,0,0,0,0,0,3,28,3
18.0,6.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14,0,0,0,1,0,0,0,14,3,4
6.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5,0,0,0,0,0,0,1,5,6,4
0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15,0,0,1,0,0,0,0,15,9,4
2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20,0,0,0,0,0,1,0,20,12,4
2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3,1,0,0,0,0,0,0,3,15,4
2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16,0,0,0,0,1,0,0,16,21,4
1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3,0,0,0,1,0,0,0,3,24,4
1.0,1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6,0,0,0,0,0,0,1,6,27,4
1.0,3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9,0,0,1,0,0,0,0,9,30,4
3.0,1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13,0,0,0,0,0,1,0,13,3,5
1.0,6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20,1,0,0,0,0,0,0,20,6,5
6.0,5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3,0,1,0,0,0,0,0,3,9,5
5.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10,0,0,0,0,1,0,0,10,12,5
0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10.0,9,0,0,0,1,0,0,0,9,15,5
3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10.0,9.0,18,0,0,0,0,0,0,1,18,18,5
3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10.0,9.0,18.0,4,0,0,1,0,0,0,0,4,21,5
5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10.0,9.0,18.0,4.0,1,0,0,0,0,0,1,0,1,24,5
5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,14.0,5.0,15.0,20.0,3.0,16.0,3.0,6.0,9.0,13.0,20.0,3.0,10.0,9.0,18.0,4.0,1.0,13,1,0,0,0,0,0,0,13,27,5
