lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
93.0,119.0,132.0,129.0,146.0,74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40,0,0,1,0,0,0,0,40,30,1
119.0,132.0,129.0,146.0,74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37,0,0,0,1,0,0,0,37,31,1
132.0,129.0,146.0,74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43,0,1,0,0,0,0,0,43,1,2
129.0,146.0,74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50,0,0,0,0,0,1,0,50,2,2
146.0,74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52,0,0,0,0,0,0,1,52,3,2
74.0,65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52.0,39,0,0,0,0,1,0,0,39,4,2
65.0,107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52.0,39.0,41,1,0,0,0,0,0,0,41,5,2
107.0,128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52.0,39.0,41.0,42,0,0,1,0,0,0,0,42,6,2
128.0,82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52.0,39.0,41.0,42.0,42,0,0,0,1,0,0,0,42,7,2
82.0,63.0,56.0,35.0,34.0,33.0,63.0,52.0,61.0,41.0,35.0,52.0,58.0,45.0,36.0,37.0,36.0,40.0,41.0,40.0,37.0,43.0,50.0,52.0,39.0,41.0,42.0,42.0,36,0,1,0,0,0,0,0,36,8,2
