lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,49.0,34.0,35.0,48.0,71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45,0,0,1,0,0,0,0,45,30,1
49.0,34.0,35.0,48.0,71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71,0,0,0,1,0,0,0,71,31,1
34.0,35.0,48.0,71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49,0,1,0,0,0,0,0,49,1,2
35.0,48.0,71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42,0,0,0,0,0,1,0,42,2,2
48.0,71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54,0,0,0,0,0,0,1,54,3,2
71.0,34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30,0,0,0,0,1,0,0,30,4,2
34.0,19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21,1,0,0,0,0,0,0,21,5,2
19.0,22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21.0,37,0,0,1,0,0,0,0,37,6,2
22.0,22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21.0,37.0,67,0,0,0,1,0,0,0,67,7,2
22.0,40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21.0,37.0,67.0,20,0,1,0,0,0,0,0,20,8,2
40.0,32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21.0,37.0,67.0,20.0,41,0,0,0,0,0,1,0,41,9,2
32.0,34.0,105.0,41.0,26.0,23.0,18.0,42.0,38.0,28.0,16.0,36.0,60.0,63.0,51.0,54.0,54.0,45.0,71.0,49.0,42.0,54.0,30.0,21.0,37.0,67.0,20.0,41.0,36,0,0,0,0,0,0,1,36,10,2
