lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,25.0,18.0,4.0,6.0,5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7,0,0,0,1,0,0,0,7,6,3
25.0,18.0,4.0,6.0,5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11,0,1,0,0,0,0,0,11,7,3
18.0,4.0,6.0,5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13,0,0,0,0,0,1,0,13,8,3
4.0,6.0,5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12,0,0,0,0,0,0,1,12,9,3
6.0,5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16,0,0,0,0,1,0,0,16,10,3
5.0,9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16.0,16,1,0,0,0,0,0,0,16,11,3
9.0,4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16.0,16.0,16,0,0,1,0,0,0,0,16,12,3
4.0,5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16.0,16.0,16.0,17,0,0,0,1,0,0,0,17,13,3
5.0,7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16.0,16.0,16.0,17.0,9,0,1,0,0,0,0,0,9,14,3
7.0,10.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,2.0,3.0,6.0,9.0,11.0,12.0,6.0,6.0,6.0,6.0,7.0,11.0,13.0,12.0,16.0,16.0,16.0,17.0,9.0,6,0,0,0,0,0,1,0,6,15,3
