lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
8.0,2.0,2.0,3.0,9.0,5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10,0,1,0,0,0,0,0,10,28,3
2.0,2.0,3.0,9.0,5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2,0,0,0,0,1,0,0,2,31,3
2.0,3.0,9.0,5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42,1,0,0,0,0,0,0,42,1,4
3.0,9.0,5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44,0,0,1,0,0,0,0,44,2,4
9.0,5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46,0,0,0,1,0,0,0,46,3,4
5.0,5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49,0,1,0,0,0,0,0,49,4,4
5.0,3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47,0,0,0,0,0,1,0,47,5,4
3.0,2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46,0,0,0,0,0,0,1,46,6,4
2.0,8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41,0,0,0,0,1,0,0,41,7,4
8.0,3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38,1,0,0,0,0,0,0,38,8,4
3.0,7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51,0,0,1,0,0,0,0,51,9,4
7.0,6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64,0,0,0,1,0,0,0,64,10,4
6.0,12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48,0,1,0,0,0,0,0,48,11,4
12.0,8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45,0,0,0,0,0,1,0,45,12,4
8.0,4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48,0,0,0,0,0,0,1,48,13,4
4.0,18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58,0,0,0,0,1,0,0,58,14,4
18.0,4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58,1,0,0,0,0,0,0,58,15,4
4.0,8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51,0,0,1,0,0,0,0,51,16,4
8.0,21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71,0,0,0,1,0,0,0,71,17,4
21.0,3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84,0,1,0,0,0,0,0,84,18,4
3.0,23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93,0,0,0,0,0,1,0,93,19,4
23.0,30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108,0,0,0,0,0,0,1,108,20,4
30.0,15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67,0,0,0,0,1,0,0,67,21,4
15.0,24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45,1,0,0,0,0,0,0,45,22,4
24.0,23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45.0,64,0,0,1,0,0,0,0,64,23,4
23.0,12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45.0,64.0,77,0,0,0,1,0,0,0,77,24,4
12.0,28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45.0,64.0,77.0,58,0,1,0,0,0,0,0,58,25,4
28.0,10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45.0,64.0,77.0,58.0,50,0,0,0,0,0,1,0,50,26,4
10.0,2.0,42.0,44.0,46.0,49.0,47.0,46.0,41.0,38.0,51.0,64.0,48.0,45.0,48.0,58.0,58.0,51.0,71.0,84.0,93.0,108.0,67.0,45.0,64.0,77.0,58.0,50.0,53,0,0,0,0,0,0,1,53,27,4
