lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,41.0,52.0,36.0,36.0,43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43,0,0,1,0,0,0,0,43,30,1
41.0,52.0,36.0,36.0,43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37,0,0,0,1,0,0,0,37,31,1
52.0,36.0,36.0,43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36,0,1,0,0,0,0,0,36,1,2
36.0,36.0,43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32,0,0,0,0,0,1,0,32,2,2
36.0,43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34,0,0,0,0,0,0,1,34,3,2
43.0,24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54,0,0,0,0,1,0,0,54,4,2
24.0,30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54.0,71,1,0,0,0,0,0,0,71,5,2
30.0,31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54.0,71.0,52,0,0,1,0,0,0,0,52,6,2
31.0,33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54.0,71.0,52.0,37,0,0,0,1,0,0,0,37,7,2
33.0,29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54.0,71.0,52.0,37.0,37,0,1,0,0,0,0,0,37,8,2
29.0,41.0,40.0,30.0,31.0,34.0,31.0,47.0,56.0,57.0,53.0,61.0,39.0,55.0,31.0,35.0,33.0,43.0,43.0,37.0,36.0,32.0,34.0,54.0,71.0,52.0,37.0,37.0,37,0,0,0,0,0,1,0,37,9,2
