lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
72.0,66.0,67.0,65.0,45.0,51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29,0,0,1,0,0,0,0,29,30,1
66.0,67.0,65.0,45.0,51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37,0,0,0,1,0,0,0,37,31,1
67.0,65.0,45.0,51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43,0,1,0,0,0,0,0,43,1,2
65.0,45.0,51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26,0,0,0,0,0,1,0,26,2,2
45.0,51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44,0,0,0,0,0,0,1,44,3,2
51.0,53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38,0,0,0,0,1,0,0,38,4,2
53.0,54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30,1,0,0,0,0,0,0,30,5,2
54.0,41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54,0,0,1,0,0,0,0,54,6,2
41.0,54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54.0,48,0,0,0,1,0,0,0,48,7,2
54.0,53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54.0,48.0,45,0,1,0,0,0,0,0,45,8,2
53.0,28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54.0,48.0,45.0,63,0,0,0,0,0,1,0,63,9,2
28.0,25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54.0,48.0,45.0,63.0,59,0,0,0,0,0,0,1,59,10,2
25.0,25.0,29.0,37.0,26.0,33.0,38.0,48.0,26.0,23.0,33.0,31.0,53.0,38.0,23.0,29.0,29.0,37.0,43.0,26.0,44.0,38.0,30.0,54.0,48.0,45.0,63.0,59.0,56,0,0,0,0,1,0,0,56,11,2
