lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
66.0,39.0,67.0,58.0,52.0,50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17,0,0,1,0,0,0,0,17,30,1
39.0,67.0,58.0,52.0,50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27,0,0,0,1,0,0,0,27,31,1
67.0,58.0,52.0,50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32,0,1,0,0,0,0,0,32,1,2
58.0,52.0,50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29,0,0,0,0,0,1,0,29,2,2
52.0,50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24,0,0,0,0,0,0,1,24,3,2
50.0,44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20,0,0,0,0,1,0,0,20,4,2
44.0,52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29,1,0,0,0,0,0,0,29,5,2
52.0,48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33,0,0,1,0,0,0,0,33,6,2
48.0,59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52,0,0,0,1,0,0,0,52,7,2
59.0,39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52,0,1,0,0,0,0,0,52,8,2
39.0,41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70,0,0,0,0,0,1,0,70,9,2
41.0,30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50,0,0,0,0,0,0,1,50,10,2
30.0,26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54,0,0,0,0,1,0,0,54,11,2
26.0,28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32,1,0,0,0,0,0,0,32,12,2
28.0,53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19,0,0,1,0,0,0,0,19,13,2
53.0,41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23,0,0,0,1,0,0,0,23,14,2
41.0,16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33,0,1,0,0,0,0,0,33,15,2
16.0,26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33.0,37,0,0,0,0,0,1,0,37,16,2
26.0,41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33.0,37.0,42,0,0,0,0,0,0,1,42,17,2
41.0,25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33.0,37.0,42.0,16,0,0,0,0,1,0,0,16,18,2
25.0,23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33.0,37.0,42.0,16.0,16,1,0,0,0,0,0,0,16,19,2
23.0,30.0,39.0,33.0,31.0,29.0,16.0,17.0,27.0,32.0,29.0,24.0,20.0,29.0,33.0,52.0,52.0,70.0,50.0,54.0,32.0,19.0,23.0,33.0,37.0,42.0,16.0,16.0,31,0,0,1,0,0,0,0,31,20,2
