lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
39.0,31.0,32.0,45.0,58.0,68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51,0,0,1,0,0,0,0,51,30,1
31.0,32.0,45.0,58.0,68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61,0,0,0,1,0,0,0,61,31,1
32.0,45.0,58.0,68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33,0,1,0,0,0,0,0,33,1,2
45.0,58.0,68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40,0,0,0,0,0,1,0,40,2,2
58.0,68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38,0,0,0,0,0,0,1,38,3,2
68.0,90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28,0,0,0,0,1,0,0,28,4,2
90.0,61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35,1,0,0,0,0,0,0,35,5,2
61.0,31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46,0,0,1,0,0,0,0,46,6,2
31.0,31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54,0,0,0,1,0,0,0,54,7,2
31.0,33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63,0,1,0,0,0,0,0,63,8,2
33.0,54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52,0,0,0,0,0,1,0,52,9,2
54.0,45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32,0,0,0,0,0,0,1,32,10,2
45.0,80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37,0,0,0,0,1,0,0,37,11,2
80.0,35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52,1,0,0,0,0,0,0,52,12,2
35.0,31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36,0,0,1,0,0,0,0,36,13,2
31.0,30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48,0,0,0,1,0,0,0,48,14,2
30.0,42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58,0,1,0,0,0,0,0,58,15,2
42.0,58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42,0,0,0,0,0,1,0,42,16,2
58.0,64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50,0,0,0,0,0,0,1,50,17,2
64.0,60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40,0,0,0,0,1,0,0,40,18,2
60.0,36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41,1,0,0,0,0,0,0,41,19,2
36.0,53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44,0,0,1,0,0,0,0,44,20,2
53.0,58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36,0,0,0,1,0,0,0,36,21,2
58.0,37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34,0,1,0,0,0,0,0,34,22,2
37.0,30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33,0,0,0,0,0,1,0,33,23,2
30.0,43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44,0,0,0,0,0,0,1,44,24,2
43.0,31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36,0,0,0,0,1,0,0,36,25,2
31.0,51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38,1,0,0,0,0,0,0,38,26,2
51.0,61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36,0,0,1,0,0,0,0,36,27,2
61.0,33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36.0,51,0,0,0,1,0,0,0,51,28,2
33.0,40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36.0,51.0,41,0,1,0,0,0,0,0,41,29,2
40.0,38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36.0,51.0,41.0,45,0,0,0,0,0,1,0,45,1,3
38.0,28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36.0,51.0,41.0,45.0,35,0,0,0,0,0,0,1,35,2,3
28.0,35.0,46.0,54.0,63.0,52.0,32.0,37.0,52.0,36.0,48.0,58.0,42.0,50.0,40.0,41.0,44.0,36.0,34.0,33.0,44.0,36.0,38.0,36.0,51.0,41.0,45.0,35.0,33,0,0,0,0,1,0,0,33,3,3
