lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
26.0,31.0,31.0,30.0,31.0,30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37,0,0,1,0,0,0,0,37,30,1
31.0,31.0,30.0,31.0,30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47,0,0,0,1,0,0,0,47,31,1
31.0,30.0,31.0,30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35,0,1,0,0,0,0,0,35,1,2
30.0,31.0,30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38,0,0,0,0,0,1,0,38,2,2
31.0,30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33,0,0,0,0,0,0,1,33,3,2
30.0,22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33.0,30,0,0,0,0,1,0,0,30,4,2
22.0,25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33.0,30.0,35,1,0,0,0,0,0,0,35,5,2
25.0,31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33.0,30.0,35.0,36,0,0,1,0,0,0,0,36,6,2
31.0,31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33.0,30.0,35.0,36.0,42,0,0,0,1,0,0,0,42,7,2
31.0,31.0,30.0,31.0,35.0,33.0,33.0,27.0,31.0,25.0,30.0,37.0,37.0,34.0,38.0,35.0,26.0,31.0,31.0,37.0,47.0,35.0,38.0,33.0,30.0,35.0,36.0,42.0,37,0,1,0,0,0,0,0,37,8,2
