lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,26.0,29.0,27.0,16.0,95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55,0,0,1,0,0,0,0,55,30,1
26.0,29.0,27.0,16.0,95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77,0,0,0,1,0,0,0,77,31,1
29.0,27.0,16.0,95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72,0,1,0,0,0,0,0,72,1,2
27.0,16.0,95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52,0,0,0,0,0,1,0,52,2,2
16.0,95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36,0,0,0,0,0,0,1,36,3,2
95.0,80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37,0,0,0,0,1,0,0,37,4,2
80.0,62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35,1,0,0,0,0,0,0,35,5,2
62.0,31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60,0,0,1,0,0,0,0,60,6,2
31.0,44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75,0,0,0,1,0,0,0,75,7,2
44.0,55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52,0,1,0,0,0,0,0,52,8,2
55.0,56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59,0,0,0,0,0,1,0,59,9,2
56.0,73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62,0,0,0,0,0,0,1,62,10,2
73.0,99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39,0,0,0,0,1,0,0,39,11,2
99.0,67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57,1,0,0,0,0,0,0,57,12,2
67.0,52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58,0,0,1,0,0,0,0,58,13,2
52.0,53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48,0,0,0,1,0,0,0,48,14,2
53.0,48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67,0,1,0,0,0,0,0,67,15,2
48.0,40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43,0,0,0,0,0,1,0,43,16,2
40.0,52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55,0,0,0,0,0,0,1,55,17,2
52.0,35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45,0,0,0,0,1,0,0,45,18,2
35.0,35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55,1,0,0,0,0,0,0,55,19,2
35.0,49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53,0,0,1,0,0,0,0,53,20,2
49.0,86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55,0,0,0,1,0,0,0,55,21,2
86.0,103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39,0,1,0,0,0,0,0,39,22,2
103.0,59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43,0,0,0,0,0,1,0,43,23,2
59.0,71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32,0,0,0,0,0,0,1,32,24,2
71.0,74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32.0,31,0,0,0,0,1,0,0,31,25,2
74.0,55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32.0,31.0,36,1,0,0,0,0,0,0,36,26,2
55.0,77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32.0,31.0,36.0,54,0,0,1,0,0,0,0,54,27,2
77.0,72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32.0,31.0,36.0,54.0,55,0,0,0,1,0,0,0,55,28,2
72.0,52.0,36.0,37.0,35.0,60.0,75.0,52.0,59.0,62.0,39.0,57.0,58.0,48.0,67.0,43.0,55.0,45.0,55.0,53.0,55.0,39.0,43.0,32.0,31.0,36.0,54.0,55.0,51,0,1,0,0,0,0,0,51,29,2
