lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
42.0,47.0,41.0,40.0,42.0,63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46,0,0,0,1,0,0,0,46,31,1
47.0,41.0,40.0,42.0,63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53,0,1,0,0,0,0,0,53,1,2
41.0,40.0,42.0,63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30,0,0,0,0,0,1,0,30,2,2
40.0,42.0,63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33,0,0,0,0,0,0,1,33,3,2
42.0,63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27,0,0,0,0,1,0,0,27,4,2
63.0,54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33,1,0,0,0,0,0,0,33,5,2
54.0,44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43,0,0,1,0,0,0,0,43,6,2
44.0,19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59,0,0,0,1,0,0,0,59,7,2
19.0,26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40,0,1,0,0,0,0,0,40,8,2
26.0,36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41,0,0,0,0,0,1,0,41,9,2
36.0,32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41.0,19,0,0,1,0,0,0,0,19,13,2
32.0,52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41.0,19.0,20,0,0,0,1,0,0,0,20,14,2
52.0,48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41.0,19.0,20.0,20,0,1,0,0,0,0,0,20,15,2
48.0,35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41.0,19.0,20.0,20.0,18,0,0,0,0,0,1,0,18,16,2
35.0,38.0,32.0,19.0,27.0,30.0,28.0,33.0,40.0,43.0,48.0,26.0,47.0,35.0,46.0,53.0,30.0,33.0,27.0,33.0,43.0,59.0,40.0,41.0,19.0,20.0,20.0,18.0,24,0,0,0,0,0,0,1,24,17,2
