lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,25.0,10.0,18.0,38.0,22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23,0,0,0,0,1,0,0,23,31,3
25.0,10.0,18.0,38.0,22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15,0,0,0,1,0,0,0,15,3,4
10.0,18.0,38.0,22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28,0,0,0,0,0,0,1,28,6,4
18.0,38.0,22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14,0,0,1,0,0,0,0,14,9,4
38.0,22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13,0,0,0,0,0,1,0,13,12,4
22.0,23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27,1,0,0,0,0,0,0,27,15,4
23.0,21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28,0,1,0,0,0,0,0,28,18,4
21.0,25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23,0,0,0,0,1,0,0,23,21,4
25.0,15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29,0,0,0,1,0,0,0,29,24,4
15.0,11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29,0,0,0,0,0,0,1,29,27,4
11.0,21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26,0,0,1,0,0,0,0,26,30,4
21.0,29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18,0,0,0,0,0,1,0,18,3,5
29.0,27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20,1,0,0,0,0,0,0,20,6,5
27.0,12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43,0,1,0,0,0,0,0,43,9,5
12.0,22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34,0,0,0,0,1,0,0,34,12,5
22.0,35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13,0,0,0,1,0,0,0,13,15,5
35.0,12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23,0,0,0,0,0,0,1,23,18,5
12.0,21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26,0,0,1,0,0,0,0,26,21,5
21.0,24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26.0,47,0,0,0,0,0,1,0,47,24,5
24.0,19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26.0,47.0,47,1,0,0,0,0,0,0,47,27,5
19.0,17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26.0,47.0,47.0,33,0,1,0,0,0,0,0,33,30,5
17.0,16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26.0,47.0,47.0,33.0,26,0,0,0,0,1,0,0,26,2,6
16.0,12.0,26.0,52.0,20.0,15.0,23.0,15.0,28.0,14.0,13.0,27.0,28.0,23.0,29.0,29.0,26.0,18.0,20.0,43.0,34.0,13.0,23.0,26.0,47.0,47.0,33.0,26.0,24,0,0,0,1,0,0,0,24,5,6
