lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
37.0,49.0,28.0,29.0,37.0,38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44,0,0,1,0,0,0,0,44,30,1
49.0,28.0,29.0,37.0,38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39,0,0,0,1,0,0,0,39,31,1
28.0,29.0,37.0,38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39,0,1,0,0,0,0,0,39,1,2
29.0,37.0,38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38,0,0,0,0,0,1,0,38,2,2
37.0,38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39,0,0,0,0,0,0,1,39,3,2
38.0,39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49,0,0,0,0,1,0,0,49,4,2
39.0,36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40,1,0,0,0,0,0,0,40,5,2
36.0,52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63,0,0,1,0,0,0,0,63,6,2
52.0,46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55,0,0,0,1,0,0,0,55,7,2
46.0,65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45,0,1,0,0,0,0,0,45,8,2
65.0,57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51,0,0,0,0,0,1,0,51,9,2
57.0,40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51.0,61,0,0,0,0,0,0,1,61,10,2
40.0,40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51.0,61.0,64,0,0,0,0,1,0,0,64,11,2
40.0,57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51.0,61.0,64.0,74,1,0,0,0,0,0,0,74,12,2
57.0,34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51.0,61.0,64.0,74.0,64,0,0,1,0,0,0,0,64,13,2
34.0,56.0,47.0,38.0,48.0,65.0,77.0,62.0,41.0,34.0,46.0,60.0,62.0,44.0,39.0,39.0,38.0,39.0,49.0,40.0,63.0,55.0,45.0,51.0,61.0,64.0,74.0,64.0,53,0,0,0,1,0,0,0,53,14,2
