lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,57.0,75.0,79.0,60.0,29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25,0,0,1,0,0,0,0,25,30,1
57.0,75.0,79.0,60.0,29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36,0,0,0,1,0,0,0,36,31,1
75.0,79.0,60.0,29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36,0,1,0,0,0,0,0,36,1,2
79.0,60.0,29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20,0,0,0,0,0,1,0,20,2,2
60.0,29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37,0,0,0,0,0,0,1,37,3,2
29.0,22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37.0,57,0,0,0,0,1,0,0,57,4,2
22.0,43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37.0,57.0,91,1,0,0,0,0,0,0,91,5,2
43.0,27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37.0,57.0,91.0,99,0,0,1,0,0,0,0,99,6,2
27.0,36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37.0,57.0,91.0,99.0,118,0,0,0,1,0,0,0,118,7,2
36.0,86.0,107.0,97.0,51.0,28.0,38.0,26.0,27.0,27.0,36.0,66.0,66.0,54.0,30.0,58.0,66.0,99.0,99.0,25.0,36.0,36.0,20.0,37.0,57.0,91.0,99.0,118.0,101,0,1,0,0,0,0,0,101,8,2
