lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,33.0,80.0,83.0,59.0,19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40,0,0,1,0,0,0,0,40,30,1
33.0,80.0,83.0,59.0,19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44,0,0,0,1,0,0,0,44,31,1
80.0,83.0,59.0,19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44,0,1,0,0,0,0,0,44,1,2
83.0,59.0,19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33,0,0,0,0,0,1,0,33,2,2
59.0,19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41,0,0,0,0,0,0,1,41,3,2
19.0,21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54,0,0,0,0,1,0,0,54,4,2
21.0,20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81,1,0,0,0,0,0,0,81,5,2
20.0,30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80,0,0,1,0,0,0,0,80,6,2
30.0,24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114,0,0,0,1,0,0,0,114,7,2
24.0,75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109,0,1,0,0,0,0,0,109,8,2
75.0,50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113,0,0,0,0,0,1,0,113,9,2
50.0,31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135,0,0,0,0,0,0,1,135,10,2
31.0,27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119,0,0,0,0,1,0,0,119,11,2
27.0,33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125,1,0,0,0,0,0,0,125,12,2
33.0,37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127,0,0,1,0,0,0,0,127,13,2
37.0,32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91,0,0,0,1,0,0,0,91,14,2
32.0,31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91.0,36,0,1,0,0,0,0,0,36,15,2
31.0,39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91.0,36.0,46,0,0,0,0,0,1,0,46,16,2
39.0,37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91.0,36.0,46.0,37,0,0,0,0,0,0,1,37,17,2
37.0,60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91.0,36.0,46.0,37.0,39,0,0,0,0,1,0,0,39,18,2
60.0,66.0,56.0,45.0,59.0,72.0,95.0,83.0,40.0,44.0,44.0,33.0,41.0,54.0,81.0,80.0,114.0,109.0,113.0,135.0,119.0,125.0,127.0,91.0,36.0,46.0,37.0,39.0,36,1,0,0,0,0,0,0,36,19,2
